strategy,avg_return_pct,median_return_pct,p05_return_pct,min_return_pct,max_return_pct,avg_regret_pct,max_regret_pct,win_rate_vs_lump
DCA_120m,67.64975845988107,68.87473298812793,56.31643126995011,45.800605464632426,85.45828969380082,18.042358309724303,51.44049856381867,0.0
DCA_12m,99.5346093770733,96.0832359705216,94.338313615545,94.338313615545,210.5869828112391,2.8748147016836247,24.804664645674855,9.068462401795735
DCA_1m,100.0,100.0,99.99999999999997,99.99999999999997,100.0,2.277808728604024,40.271086796766554,0.0
DCA_24m,96.710513053117,92.38902127169833,89.3348073219857,89.3348073219857,193.65935045583188,4.27479047266208,31.84028250068205,15.11784511784512
DCA_36m,93.2363632574406,89.18307515538399,85.2350418998999,83.4536508575288,177.33600299488583,5.899222230955412,35.801447006741085,15.74074074074074
DCA_3m,100.49678745974337,99.2801391768056,98.95435825691376,98.95435825691376,226.31578947368416,2.171707410159315,29.678970765089947,9.090909090909092
DCA_60m,85.86030056554863,83.09761559988719,78.92038998976658,71.3599619349198,139.27781614374615,9.354706432127031,41.47109134299545,8.108866442199776
DCA_6m,100.5761837297683,98.20681766184794,97.39953889071697,97.39953889071697,234.84620642515378,2.255620213801499,26.268162825405362,9.090909090909092
Hybrid_25pct_DCA120m,75.73731884491096,76.65604974109607,67.23732345246265,59.350454098474415,89.09371727035082,14.101220914444157,47.89898201474338,0.0
Hybrid_25pct_DCA12m,99.650957032805,97.06242697789122,95.75373521165878,95.75373521165878,182.94023710842936,2.725563208413714,26.936831817589468,9.068462401795735
Hybrid_25pct_DCA1m,100.0,100.0,99.99999999999997,99.99999999999997,100.0,2.277808728604024,40.271086796766554,0.0
Hybrid_25pct_DCA24m,97.53288478983774,94.2917659537737,92.00110549148934,92.00110549148934,170.24451284187387,3.775545036647575,32.58395481908194,15.11784511784512
Hybrid_25pct_DCA36m,94.92727244308034,91.88730636653794,88.92628142492482,87.59023814314652,158.0020022461643,4.993868855367616,35.76418829338473,15.74074074074074
Hybrid_25pct_DCA3m,100.37259059480753,99.46010438260417,99.21576869268533,99.21576869268533,194.73684210526315,2.198232739770492,30.308266857087705,9.090909090909092
Hybrid_25pct_DCA60m,89.39522542416144,87.32321169991548,84.19029249232489,78.51997145118979,129.45836210780945,7.585482006246294,40.16225429202477,8.108866442199776
Hybrid_25pct_DCA6m,100.43213779732623,98.65511324638597,98.04965416803768,98.04965416803768,201.13465481886533,2.2611673425021297,27.59289391374859,9.090909090909092
Hybrid_50pct_DCA120m,83.82487922994052,84.43736649406405,78.15821563497501,72.90030273231626,92.72914484690054,10.160083519164166,45.35635027541782,0.0
Hybrid_50pct_DCA12m,99.76730468853667,98.04161798526079,97.1691568077725,97.1691568077725,155.29349140561953,2.5763117151438153,29.48029135850907,9.068462401795735
Hybrid_50pct_DCA1m,100.0,100.0,99.99999999999997,99.99999999999997,100.0,2.277808728604024,40.271086796766554,0.0
Hybrid_50pct_DCA24m,98.35525652655849,96.19451063584911,94.66740366099285,94.66740366099285,146.8296752279159,3.2762996006330556,33.670034776754036,15.11784511784512
Hybrid_50pct_DCA36m,96.6181816287203,94.59153757769198,92.61752094994999,91.7268254287644,138.66800149744293,4.088515479779715,35.95635340181727,15.74074074074074
Hybrid_50pct_DCA3m,100.24839372987168,99.64006958840277,99.47717912845688,99.47717912845688,163.15789473684214,2.224758069381676,31.80265407062828,9.090909090909092
Hybrid_50pct_DCA60m,92.93015028277432,91.54880779994366,89.4601949948833,85.67998096745985,119.63890807187308,5.8162575803655265,39.116432029357654,8.108866442199776
Hybrid_50pct_DCA6m,100.28809186488412,99.10340883092394,98.69976944535847,98.69976944535847,167.42310321257693,2.2667144712027705,28.973486160690996,9.090909090909092
Hybrid_75pct_DCA120m,91.91243961497027,92.21868324703199,89.07910781748745,86.45015136615801,96.36457242345,6.218946123884093,42.813718536092196,0.0
Hybrid_75pct_DCA12m,99.88365234426831,99.02080899263039,98.58457840388628,98.58457840388628,127.6467457028097,2.427060221873925,32.68101557510132,9.068462401795735
Hybrid_75pct_DCA1m,100.0,100.0,99.99999999999997,99.99999999999997,100.0,2.277808728604024,40.271086796766554,0.0
Hybrid_75pct_DCA24m,99.17762826327925,98.0972553179245,97.3337018304965,97.3337018304965,123.41483761395801,2.7770541646185403,35.67176576355603,15.11784511784512
Hybrid_75pct_DCA36m,98.30909081436016,97.29576878884598,96.308760474975,95.86341271438216,119.33400074872145,3.1831621041918656,37.54962636666693,15.74074074074074
Hybrid_75pct_DCA3m,100.12419686493585,99.82003479420139,99.73858956422845,99.73858956422845,131.57894736842107,2.251283398992842,33.424125915282346,9.090909090909092
Hybrid_75pct_DCA60m,96.46507514138719,95.77440389997192,94.73009749744175,92.8399904837301,109.81945403593647,4.047033154484761,39.6937594130621,8.108866442199776
Hybrid_75pct_DCA6m,100.14404593244208,99.551704415462,99.34988472267922,99.34988472267922,133.71155160628848,2.2722615999033935,30.38868761540105,9.090909090909092
LumpSum,100.0,100.0,99.99999999999997,99.99999999999997,100.0,2.277808728604024,40.271086796766554,0.0
