strategy,weighted_avg_return_pct,weighted_avg_regret_pct,win_rate_vs_lump,p05_return_pct,max_regret_pct
DCA_120m,55.64563334581387,19.493420555020116,9.551851851851852,6.056419605120622,61.30736799214757
DCA_120m_Trigger,68.36936214748171,13.746898519183247,28.006790123456792,8.45036514282483,54.748215908714656
DCA_12m,86.40122198124172,6.346638560866225,20.806172839506175,4.71696795163925,38.58964190506402
DCA_12m_Trigger,85.9231602313087,6.545892105320131,20.806172839506175,4.71696795163925,32.953514995781944
DCA_1m,80.93834260547273,8.288713262438385,0.0,5.000000000000004,48.053855395974885
DCA_1m_Trigger,80.93834260547273,8.288713262438385,0.0,5.000000000000004,48.053855395974885
DCA_24m,85.47303067061272,6.726150787524381,34.06296296296296,4.4106755250155505,42.84276090390718
DCA_24m_Trigger,87.69472077998316,5.8599441830495715,34.05925925925925,4.4106755250155505,39.89094076049672
DCA_36m,82.53308315942846,7.873410328952474,39.48765432098766,4.10695018647016,45.29526613799202
DCA_36m_Trigger,87.89359197111759,5.691229252023599,40.599999999999994,4.10695018647016,43.104658844327346
DCA_3m,83.78343143984479,7.231555544494491,20.806172839506175,4.948378168129874,34.75486503378366
DCA_3m_Trigger,83.45970718259657,7.350364131983919,20.806172839506175,4.948378168129874,34.75486503378366
DCA_60m,75.06802935141403,10.940204821246406,34.62222222222222,3.507160423511846,51.15926714421033
DCA_60m_Trigger,83.80716968667907,7.155355981486691,48.03950617283951,3.507160423511846,46.583946217217914
DCA_6m,85.64234576800374,6.552722248158707,20.806172839506175,4.871080062323863,32.53514679168305
DCA_6m_Trigger,84.94883954329589,6.824784269598175,20.806172839506175,4.871080062323863,31.587788555185277
Hybrid_25pct_DCA120m,61.968810660728714,16.69224373187461,9.551851851851852,5.7909413559601965,57.127022809397275
Hybrid_25pct_DCA120m_Trigger,71.51160726197956,12.382352204996979,28.006790123456792,7.592019925784443,52.2076587468226
Hybrid_25pct_DCA12m,85.03550213729947,6.832157236259255,20.806172839506175,4.787725963729406,40.088728244084635
Hybrid_25pct_DCA12m_Trigger,84.67695582484971,6.981597394599686,20.806172839506175,4.787725963729406,35.861633062123076
Hybrid_25pct_DCA1m,80.93834260547273,8.288713262438385,0.0,5.000000000000004,48.053855395974885
Hybrid_25pct_DCA1m_Trigger,80.93834260547273,8.288713262438385,0.0,5.000000000000004,48.053855395974885
Hybrid_25pct_DCA24m,84.33935865432767,7.116791406252901,34.06296296296296,4.558006643761647,43.27856749321703
Hybrid_25pct_DCA24m_Trigger,86.0056262363555,6.467136452896793,34.05925925925925,4.558006643761647,41.06470238565919
Hybrid_25pct_DCA36m,82.13439802093944,7.977236062323997,39.48765432098766,4.330212639852493,45.117946418780654
Hybrid_25pct_DCA36m_Trigger,86.15477962970628,6.340600254627347,40.599999999999994,4.330212639852493,43.47499094853215
Hybrid_25pct_DCA3m,83.07215923125177,7.495844973980464,20.806172839506175,4.961283626097401,35.853452124230415
Hybrid_25pct_DCA3m_Trigger,82.82936603831561,7.584951414597538,20.806172839506175,4.961283626097401,36.19505164543737
Hybrid_25pct_DCA60m,76.53560766492863,10.277331931544447,34.62222222222222,3.880370317633841,49.51594717344437
