Date,Close,USDJPY_Close,Close_Yen
1999-01-04,354.2585754394531,111.91000366210938,39645.07847476285
1999-01-05,376.3279113769531,111.9000015258789,42111.09385731188
1999-01-06,389.2516479492188,112.75,43888.12330627442
1999-01-07,392.210205078125,111.30999755859376,43656.916969701655
1999-01-08,391.2406921386719,110.8000030517578,43349.469882936675
1999-01-11,402.5751953125,109.0,43880.6962890625
1999-01-12,388.2521362304688,112.5999984741211,43717.18994712504
1999-01-13,403.1849060058594,113.5,45761.48683166504
1999-01-14,391.7504577636719,113.5,44463.67695617676
1999-01-15,403.074951171875,114.0999984741211,45990.85131366737
1999-01-19,401.3957824707031,113.5999984741211,45598.56027619052
1999-01-20,416.5884399414063,112.9000015258789,47032.835505048286
1999-01-21,397.6675720214844,113.9000015258789,45294.33706003963
1999-01-22,392.570068359375,114.41999816894533,44917.86650286243
1999-01-25,389.9413146972656,113.6999969482422,44336.326291072655
1999-01-26,407.0330505371094,113.77999877929688,46312.21999324579
1999-01-27,393.59954833984375,115.5999984741211,45500.10718750069
1999-01-28,406.2834167480469,116.2699966430664,47238.57150142896
1999-01-29,420.2466735839844,116.27999877929688,48866.282691349275
1999-02-01,411.3309631347656,115.0500030517578,47323.62856393726
1999-02-02,402.2653503417969,111.91000366210938,45017.5168298902
1999-02-03,418.3675842285156,112.88999938964844,47229.51632820582
1999-02-04,397.1178588867188,112.0199966430664,44485.14121939196
1999-02-05,385.873291015625,113.08000183105467,43634.552454601966
1999-02-08,400.02642822265625,114.5199966430664,45811.02521719644
1999-02-09,373.8591003417969,113.9499969482422,42601.24334302033
1999-02-10,377.0475769042969,114.3000030517578,43096.539190819014
1999-02-11,401.6656188964844,114.63999938964844,46046.94630513573
1999-02-12,391.73046875,113.9499969482422,44637.68571859599
1999-02-16,394.1293029785156,118.6500015258789,46763.44239979447
1999-02-17,381.07562255859375,118.6999969482422,45233.67523475458
1999-02-18,383.3045349121094,119.6500015258789,45862.38818711019
1999-02-19,389.8013916015625,121.3000030517578,47282.909990848966
1999-02-22,410.601318359375,121.12000274658205,49732.03280743771
1999-02-23,408.65228271484375,120.77999877929688,49357.02220745571
1999-02-24,408.42236328125,121.3499984741211,49562.05316097662
1999-02-25,388.4220275878906,119.5999984741211,46455.27390682674
1999-02-26,356.08770751953125,119.1500015258789,42427.85089429887
1999-03-01,359.77593994140625,119.72000122070312,43072.37596896477
1999-03-02,347.0021057128906,119.9000015258789,41605.55300445878
1999-03-03,353.22906494140625,121.83000183105467,43033.89762859325
1999-03-04,355.298095703125,123.4800033569336,43872.21005013399
1999-03-05,377.3973693847656,122.6999969482422,46306.65607178538
1999-03-08,387.5325012207031,121.69000244140624,47158.83101967163
1999-03-09,371.9900207519531,121.11000061035156,45051.71164031373
1999-03-10,381.1155700683594,119.76000213623048,45642.40148553742
1999-03-11,373.5292663574219,119.08999633789062,44483.59896260034
1999-03-12,365.47314453125,118.6500015258789,43363.389156300575
1999-03-15,365.02337646484375,117.87999725341795,43028.95461510913
1999-03-16,381.2655334472656,117.41999816894533,44768.198239259895
1999-03-17,382.9346923828125,118.2699966430664,45289.6847826289
1999-03-18,386.5229797363281,117.5199966430664,45424.179281081306
1999-03-19,374.7986450195313,117.1999969482422,43926.400052494384
1999-03-22,369.651123046875,118.3000030517578,43729.72898453101
1999-03-23,353.6988525390625,118.16000366210938,41793.05771129951
1999-03-24,359.635986328125,118.13999938964844,42487.3952053003
1999-03-25,369.3612976074219,118.1500015258789,43640.03787591751
1999-03-26,363.4641418457031,120.3000030517578,43724.73737324261
1999-03-29,376.35791015625,120.27999877929688,45268.32897417247
1999-03-30,369.9409790039063,120.44000244140624,44555.69241440669
1999-03-31,370.55072021484375,118.7699966430664,44010.30779600283
1999-04-01,387.1826477050781,120.6999969482422,46732.94439641527
1999-04-05,403.924560546875,121.6999969482422,49157.61778587476
1999-04-06,412.6103515625,120.66999816894533,49789.690367534764
1999-04-07,406.6932373046875,121.5,49413.22833251953
1999-04-08,410.0715637207031,121.18000030517578,49692.472216818715
1999-04-09,409.8716735839844,120.88999938964844,49549.386369402055
1999-04-12,387.4825134277344,120.4000015258789,46652.89520795061
1999-04-13,379.5763549804688,119.8000030517578,45473.24848503526
1999-04-14,384.533935546875,118.83999633789062,45698.011492185295
1999-04-15,401.4357604980469,119.06999969482422,47798.95587999397
1999-04-16,395.1488037109375,117.72000122070312,46516.91765521094
1999-04-19,375.61822509765625,117.52999877929688,44146.4095372092
1999-04-20,380.9656677246094,118.83999633789062,45273.958557254635
1999-04-21,406.5033264160156,119.7300033569336,48670.64463639422
1999-04-22,402.9350280761719,119.6999969482422,48231.32163105766
1999-04-23,395.17877197265625,119.3000030517578,47144.82870232779
1999-04-26,393.1397705078125,119.33999633789062,46917.298772681504
1999-04-27,385.6234130859375,120.1999969482422,46351.93307610043
1999-04-28,378.2369995117188,119.08999633789062,45044.24288670533
1999-04-29,372.0499877929688,119.1999969482422,44348.35740951543
1999-04-30,370.0909118652344,119.37000274658205,44177.75316583808
1999-05-03,380.4859008789063,120.22000122070312,45742.015468122445
1999-05-04,375.8981018066406,120.80999755859376,45412.248761540286
1999-05-05,395.40869140625,120.4499969482422,47626.97567319126
1999-05-06,380.0361022949219,120.5,45794.350326538086
1999-05-07,386.7728576660156,120.66999816894533,46671.88002635586
1999-05-10,387.9023132324219,120.47000122070312,46730.59214862343
1999-05-11,395.1288146972656,120.9499969482422,47790.82893179684
1999-05-12,412.620361328125,120.93000030517578,49898.1804213319
1999-05-13,406.1235046386719,121.75,49445.5366897583
1999-05-14,396.9479370117188,122.83000183105467,48757.115829982795
1999-05-17,405.46380615234375,123.4000015258789,50034.23429788789
1999-05-18,412.82025146484375,123.27999877929688,50892.48009665497
1999-05-19,429.1023559570313,124.25,53315.96772766114
1999-05-20,415.49896240234375,124.38999938964844,51683.9156796271
1999-05-21,408.2024841308594,123.87000274658205,50564.042830451166
1999-05-24,394.8389587402344,123.12999725341795,48616.51990522746
1999-05-25,373.0994567871094,122.33000183105467,45641.25723193259
1999-05-26,379.5163879394531,122.3000030517578,46414.85540318721
1999-05-27,387.6524353027344,120.5,46712.11845397949
1999-05-28,387.9422912597656,121.58000183105467,47166.02448170585
1999-06-01,375.3683471679688,120.6999969482422,45306.95835764056
1999-06-02,395.7185363769531,121.61000061035156,48123.3314503287
1999-06-03,386.86279296875,121.63999938964844,47057.98990059644
1999-06-04,408.76220703125,122.36000061035156,50016.1439018324
1999-06-07,412.9701843261719,120.52999877929688,49775.2958127195
1999-06-08,412.1605529785156,119.4000015258789,49211.97065454186
1999-06-09,430.49169921875,119.4000015258789,51400.70954359695
1999-06-10,436.7886657714844,118.80999755859376,51894.86031393149
1999-06-11,436.6986999511719,117.95999908447266,51512.97824643063
1999-06-14,438.857666015625,120.4499969482422,52860.40453229473
1999-06-15,450.8918151855469,120.41999816894533,54296.39155903599
1999-06-16,463.255859375,120.33000183105467,55743.578406840556
1999-06-17,463.4857177734375,119.58000183105467,55423.622980015345
1999-06-18,456.8089599609375,120.41000366210938,55004.36854178086
1999-06-21,476.81927490234375,122.27999877929688,58305.460353003815
1999-06-22,466.6941833496094,121.8499984741211,56866.68552903109
1999-06-23,474.9601745605469,121.8499984741211,57873.896545470925
1999-06-24,454.4101257324219,121.97000122070312,55424.40359028336
1999-06-25,452.3111267089844,121.16999816894533,54806.538395121235
1999-06-28,459.3777160644531,121.38999938964844,55763.86067268206
1999-06-29,473.8107604980469,121.0500030517578,57354.79400424426
1999-06-30,484.2157287597656,120.9000015258789,58541.68234591023
1999-07-01,491.7120971679688,120.9000015258789,59447.993297900546
1999-07-02,492.6416320800781,120.95999908447266,59589.931365379365
1999-07-06,495.66015625,122.0999984741211,60520.10432180762
1999-07-07,491.1623229980469,122.37000274658205,60103.534814288614
1999-07-08,509.6734008789063,122.55999755859376,62465.57076739894
1999-07-09,508.9637145996094,122.2699966430664,62230.99167553685
1999-07-12,509.3435363769531,122.12999725341795,62206.12469876347
1999-07-13,503.84619140625,121.3499984741211,61141.73455834016
1999-07-14,524.8060913085938,120.73999786376952,63365.08634349284
1999-07-15,528.4942626953125,121.01000213623048,63953.09185774532
1999-07-16,529.8236694335938,120.87000274658205,64039.788379642654
1999-07-19,509.873291015625,118.4000015258789,60368.9984342549
1999-07-20,486.9244079589844,119.29000091552734,58085.213071219856
1999-07-21,495.79010009765625,118.37000274658205,58686.67551028776
1999-07-22,475.3599853515625,116.97000122070312,55602.858066845685
1999-07-23,483.0362548828125,116.52999877929688,56288.214191850275
1999-07-26,469.6627502441406,116.91999816894533,54912.96789856675
1999-07-27,495.66015625,116.58000183105467,57784.061923205845
1999-07-28,509.4634704589844,116.04000091552734,59118.141578488285
1999-07-29,492.4017639160156,115.36000061035156,56803.46778588975
1999-07-30,493.7311096191406,114.6500015258789,56606.27247120836
1999-08-02,489.9529418945313,114.4499969482422,56075.1127046114
