Date,Close,USDJPY_Close,Close_Yen
1999-01-04,1854.3900146484373,111.91000366210938,207524.79333028567
1999-01-05,1903.0,111.9000015258789,212945.70290374756
1999-01-06,1963.949951171875,112.75,221435.3569946289
1999-01-07,1966.3499755859373,111.30999755859376,218874.41098181158
1999-01-08,1973.6600341796875,110.8000030517578,218681.53781024177
1999-01-11,2000.1800537109373,109.0,218019.62585449216
1999-01-12,1939.0799560546875,112.5999984741211,218340.4000929566
1999-01-13,1948.7099609375,113.5,221178.58056640625
1999-01-14,1906.1199951171875,113.5,216344.61944580078
1999-01-15,1981.6199951171875,114.0999984741211,226102.83841915894
1999-01-19,2033.7099609375,113.5999984741211,231029.44845930487
1999-01-20,2033.7099609375,112.9000015258789,229605.85769303888
1999-01-21,1961.760009765625,113.9000015258789,223444.4681057129
1999-01-22,1964.2099609375,114.41999816894533,224744.90013389292
1999-01-25,1997.1600341796875,113.6999969482422,227077.08979138176
1999-01-26,2062.199951171875,113.77999877929688,234637.107927002
1999-01-27,2030.3599853515625,115.5999984741211,234709.61120855715
1999-01-28,2104.590087890625,116.2699966430664,244700.6824540738
1999-01-29,2127.18994140625,116.27999877929688,247349.64379005134
1999-02-01,2130.929931640625,115.0500030517578,245163.49513833594
1999-02-02,2078.68994140625,111.91000366210938,232626.19895516336
1999-02-03,2119.93994140625,112.88999938964844,239320.0186914429
1999-02-04,2027.6600341796875,112.0199966430664,227138.4702220885
1999-02-05,1988.550048828125,113.08000183105467,224865.24316262823
1999-02-08,2034.2099609375,114.5199966430664,232957.71789785475
1999-02-09,1935.3299560546875,113.9499969482422,220530.84258627336
1999-02-10,1944.1800537109373,114.3000030517578,222219.78607232677
1999-02-11,2044.6800537109373,114.63999938964844,234402.12010944818
1999-02-12,1958.5999755859373,113.9499969482422,223182.4612408448
1999-02-16,1954.489990234375,118.6500015258789,231900.24032362364
1999-02-17,1891.3699951171875,118.6999969482422,224505.61264840703
1999-02-18,1906.0899658203125,119.6500015258789,228063.66731886286
1999-02-19,1931.5899658203125,121.3000030517578,234301.86874874865
1999-02-22,1996.02001953125,121.12000274658205,241757.95024785775
1999-02-23,2028.22998046875,120.77999877929688,244969.61456514895
1999-02-24,1989.1400146484373,121.3499984741211,241382.13774240107
1999-02-25,1974.3900146484373,119.5999984741211,236137.04273927302
1999-02-26,1925.280029296875,119.1500015258789,229397.11842846684
