Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1999-01-04 00:00:00-05:00,76.68233525840832,77.82829720882526,75.6529118114236,76.46868133544922,9450400,0.0,0.0,0.0
1999-01-05 00:00:00-05:00,76.41040446781022,77.61463554991602,76.41040446781022,77.34271240234375,8031000,0.0,0.0,0.0
1999-01-06 00:00:00-05:00,78.19733605939071,79.40156726547174,78.1584898914526,79.20733642578125,7737700,0.0,0.0,0.0
1999-01-07 00:00:00-05:00,78.54693217721699,79.0713553148987,78.17789367292244,78.81885528564453,5504900,0.0,0.0,0.0
1999-01-08 00:00:00-05:00,79.67345809936523,79.86768886021206,78.29441969735281,79.40153503417969,6224400,0.0,0.0,0.0
1999-01-11 00:00:00-05:00,79.36272765254056,79.36272765254056,77.82830389224915,78.64407348632812,7578300,0.0,0.0,0.0
1999-01-12 00:00:00-05:00,78.44985855801004,78.44985855801004,76.9154344861896,77.22620391845703,7768800,0.0,0.0,0.0
1999-01-13 00:00:00-05:00,74.83714193751868,77.77002759351798,74.81771885370411,76.68233489990234,10810600,0.0,0.0,0.0
1999-01-14 00:00:00-05:00,76.83774873675006,77.01255655743529,75.14793980345955,75.34217071533203,11400700,0.0,0.0,0.0
1999-01-15 00:00:00-05:00,76.06076380283989,77.55634061918786,75.86653304747003,77.30384063720703,7817700,0.0,0.0,0.0
1999-01-19 00:00:00-05:00,77.8768339247568,78.08077625078496,76.7600069012692,77.80885314941406,6535100,0.0,0.0,0.0
1999-01-20 00:00:00-05:00,78.37214304114876,79.51810498400572,77.71175819272273,78.43041229248047,6534400,0.0,0.0,0.0
1999-01-21 00:00:00-05:00,78.0516387669678,78.21673492959546,76.19673482215123,76.35211944580078,6937500,0.0,0.0,0.0
1999-01-22 00:00:00-05:00,75.90540686047606,76.97367640431592,75.6917529517081,76.17733001708984,7522300,0.0,0.0,0.0
1999-01-25 00:00:00-05:00,76.6240465490581,77.07077736544042,75.76943107423969,76.95423889160156,5700300,0.0,0.0,0.0
1999-01-26 00:00:00-05:00,77.1484759155334,78.35270690917969,76.83770662685048,78.35270690917969,6047000,0.0,0.0,0.0
1999-01-27 00:00:00-05:00,78.54693488701561,78.70231952576341,77.16789621812885,77.4398193359375,7399400,0.0,0.0,0.0
1999-01-28 00:00:00-05:00,77.84771857993262,78.91598817122411,77.80887241297657,78.74118041992188,5961700,0.0,0.0,0.0
