Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-01 00:00:00-05:00,1150.0,1195.5,1136.9000244140625,1164.800048828125,0,0.0,0.0
1999-02-01 00:00:00-05:00,1173.800048828125,1175.199951171875,1123.699951171875,1146.9000244140625,0,0.0,0.0
1999-03-01 00:00:00-05:00,1141.300048828125,1199.0,1123.5,1188.199951171875,0,0.0,0.0
1999-04-01 00:00:00-05:00,1187.5,1252.0,1187.5,1237.0999755859375,0,0.0,0.0
1999-05-01 00:00:00-04:00,1233.0,1242.9000244140625,1175.699951171875,1186.4000244140625,0,0.0,0.0
1999-06-01 00:00:00-04:00,1186.699951171875,1241.300048828125,1186.5999755859375,1234.199951171875,0,0.0,0.0
1999-07-01 00:00:00-04:00,1240.699951171875,1280.300048828125,1232.300048828125,1232.5,0,0.0,0.0
1999-08-01 00:00:00-04:00,1235.699951171875,1271.800048828125,1191.5,1243.699951171875,0,0.0,0.0
1999-09-01 00:00:00-04:00,1232.0999755859375,1265.5999755859375,1205.5999755859375,1205.5999755859375,0,0.0,0.0
1999-10-01 00:00:00-04:00,1218.800048828125,1257.9000244140625,1197.4000244140625,1257.300048828125,0,0.0,0.0
1999-11-01 00:00:00-05:00,1280.9000244140625,1341.699951171875,1273.5,1336.0,0,0.0,0.0
1999-12-01 00:00:00-05:00,1315.5999755859375,1419.0999755859375,1315.5999755859375,1419.0999755859375,0,0.0,0.0
2000-01-01 00:00:00-05:00,1420.800048828125,1422.0999755859375,1334.4000244140625,1334.4000244140625,0,0.0,0.0
2000-02-01 00:00:00-05:00,1338.199951171875,1391.9000244140625,1323.5,1330.300048828125,0,0.0,0.0
2000-03-01 00:00:00-05:00,1340.5,1448.699951171875,1340.5,1419.5,0,0.0,0.0
2000-04-01 00:00:00-05:00,1431.9000244140625,1432.5999755859375,1329.9000244140625,1369.9000244140625,0,0.0,0.0
