holding_years,point_pattern,max_signal_score,buy_signal_threshold,score,sp500_point,vix_point,signal_count,total_return_avg,total_return_median,total_return_min,total_return_max
1,S_A__V_B,10000,1000,6400,80,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_A__V_B,10000,1000,8000,80,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_A__V_B,10000,1000,8000,100,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_A__V_B,10000,1000,10000,100,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_A__V_C,10000,1000,1500,50,30,129,-0.09604150461770339,-0.12351156842807975,-0.48822822765102736,0.3253452139975581
1,S_A__V_C,10000,1000,2100,30,70,72,0.13689277135020175,0.18281197027691554,-0.3544195898893221,0.43271164270658224
1,S_A__V_C,10000,1000,2400,80,30,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_A__V_C,10000,1000,3000,30,100,53,0.21026989707547608,0.2232048294975859,-0.08240791135724024,0.43562936105373384
1,S_A__V_C,10000,1000,3000,100,30,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_A__V_C,10000,1000,3500,50,70,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_A__V_C,10000,1000,5000,50,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_A__V_C,10000,1000,5600,80,70,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_A__V_C,10000,1000,7000,100,70,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_A__V_C,10000,1000,8000,80,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_A__V_C,10000,1000,10000,100,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_A__V_D,10000,1000,1500,30,50,72,0.13689277135020175,0.18281197027691554,-0.3544195898893221,0.43271164270658224
1,S_A__V_D,10000,1000,2500,50,50,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_A__V_D,10000,1000,3000,30,100,53,0.21026989707547608,0.2232048294975859,-0.08240791135724024,0.43562936105373384
1,S_A__V_D,10000,1000,4000,80,50,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_A__V_D,10000,1000,5000,50,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_A__V_D,10000,1000,5000,100,50,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_A__V_D,10000,1000,8000,80,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_A__V_D,10000,1000,10000,100,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_A__V_E,10000,1000,2400,30,80,72,0.13689277135020175,0.18281197027691554,-0.3544195898893221,0.43271164270658224
1,S_A__V_E,10000,1000,3000,30,100,53,0.21026989707547608,0.2232048294975859,-0.08240791135724024,0.43562936105373384
1,S_A__V_E,10000,1000,4000,50,80,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_A__V_E,10000,1000,5000,50,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_A__V_E,10000,1000,6400,80,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_A__V_E,10000,1000,8000,80,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_A__V_E,10000,1000,8000,100,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_A__V_E,10000,1000,10000,100,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_B__V_A,6000,600,700,20,35,217,-0.08535666073856137,-0.16188907146158982,-0.36649298811562314,0.3294945642794551
1,S_B__V_A,6000,600,1000,20,50,129,-0.09604150461770339,-0.12351156842807975,-0.48822822765102736,0.3253452139975581
