Date	Close
1999-07-01	56522.33909
1999-08-01	57252.18878
1999-09-01	52950.6613
1999-10-01	57867.25853
1999-11-01	62109.44602
1999-12-01	71957.12198
2000-01-01	83367.69196
2000-02-01	128910.614
2000-03-01	121628.5372
2000-04-01	126604.7421
2000-05-01	107409.0483
2000-06-01	120849.1119
2000-07-01	108605.07
2000-08-01	122928.8914
2000-09-01	92035.72757
2000-10-01	80664.65823
2000-11-01	59238.9231
2000-12-01	66053.30952
2001-01-01	85390.61029
2001-02-01	63504.25675
2001-03-01	68701.748
2001-04-01	81719.44292
2001-05-01	71349.67479
2001-06-01	77805.10528
2001-07-01	75704.42905
2001-08-01	66790.67802
2001-09-01	44624.34969
2001-10-01	54811.12634
2001-11-01	64033.39437
2001-12-01	68719.54768
2002-01-01	75339.69307
2002-02-01	68142.4035
2002-03-01	79075.08412
2002-04-01	67540.67866
2002-05-01	59056.23884
2002-06-01	46301.15599
2002-07-01	39620.82054
2002-08-01	35675.33078
2002-09-01	29010.74316
2002-10-01	36123.63848
2002-11-01	45742.75924
2002-12-01	34316.18071
2003-01-01	32567.3894
2003-02-01	35130.12696
2003-03-01	34945.91356
2003-04-01	39488.54398
2003-05-01	45587.52459
2003-06-01	43023.28531
2003-07-01	46951.07338
2003-08-01	53182.78745
2003-09-01	46694.72086
2003-10-01	54590.78308
2003-11-01	58118.58222
2003-12-01	54545.69384
2004-01-01	54353.03746
2004-02-01	54744.96518
2004-03-01	50738.22282
2004-04-01	48923.21814
2004-05-01	53514.05127
2004-06-01	52786.20625
2004-07-01	46351.21795
2004-08-01	40484.66169
2004-09-01	42272.28281
2004-10-01	43578.47537
2004-11-01	43595.13003
2004-12-01	44397.12635
2005-01-01	41830.0138
2005-02-01	45681.54899
2005-03-01	44654.70143
2005-04-01	40327.18934
2005-05-01	46475.69348
2005-06-01	46435.63358
2005-07-01	53443.5265
2005-08-01	52395.08543
2005-09-01	53903.7244
2005-10-01	50352.24179
2005-11-01	57634.05548
2005-12-01	56605.17297
2006-01-01	63212.4034
2006-02-01	60550.87
2006-03-01	58810.32904
2006-04-01	58733.9059
2006-05-01	52271.89807
2006-06-01	50548.06429
2006-07-01	47242.29163
2006-08-01	52694.96261
2006-09-01	53642.28595
2006-10-01	53480.29702
2006-11-01	55386.23417
2006-12-01	55569.5566
2007-01-01	55384.40757
2007-02-01	56197.39838
2007-03-01	54826.92992
2007-04-01	58808.86317
2007-05-01	59416.90553
2007-06-01	61693.01752
2007-07-01	59072.46883
2007-08-01	57560.77662
2007-09-01	57392.5638
2007-10-01	53444.71217
2007-11-01	46311.05225
2007-12-01	45535.63605
2008-01-01	38125.66209
2008-02-01	36099.67795
2008-03-01	34325.79854
2008-04-01	40015.32414
2008-05-01	43753.36647
2008-06-01	39052.36504
2008-07-01	36730.34107
2008-08-01	38237.77277
2008-09-01	32536.08223
2008-10-01	23562.02675
2008-11-01	18891.06106
2008-12-01	19223.90858
2009-01-01	18717.68129
2009-02-01	19426.93015
2009-03-01	22842.11047
2009-04-01	25501.98695
2009-05-01	25846.59015
2009-06-01	25337.24348
2009-07-01	28542.8612
2009-08-01	28421.18538
2009-09-01	29260.99602
2009-10-01	26776.8562
2009-11-01	26728.87711
2009-12-01	33423.0667
2010-01-01	28505.20503
2010-02-01	30106.69665
2010-03-01	34265.04695
2010-04-01	35269.58323
2010-05-01	32416.95219
2010-06-01	29371.07683
2010-07-01	30140.03901
2010-08-01	25980.17221
2010-09-01	29240.2873
2010-10-01	30422.145
2010-11-01	32853.27388
2010-12-01	33538.86821
2011-01-01	36143.53632
2011-02-01	37415.37809
2011-03-01	36348.89578
2011-04-01	36634.90084
2011-05-01	35537.65091
2011-06-01	33103.33125
2011-07-01	30062.30178
2011-08-01	27276.25114
2011-09-01	25996.93745
2011-10-01	29258.5937
2011-11-01	29089.95238
2011-12-01	28288.35599
2012-01-01	31211.55602
2012-02-01	34120.6945
2012-03-01	36328.13498
2012-04-01	33199.82342
2012-05-01	29080.52822
2012-06-01	30748.68185
2012-07-01	29954.42124
