Date	Close
1999-07-01	141096.6041
1999-08-01	136483.63
1999-09-01	127974.4392
1999-10-01	130960.3777
1999-11-01	136231.9216
1999-12-01	145003.6359
2000-01-01	143047.6785
2000-02-01	146585.7656
2000-03-01	146151.7187
2000-04-01	148099.8925
2000-05-01	143998.176
2000-06-01	144830.8597
2000-07-01	145332.3768
2000-08-01	146649.9187
2000-09-01	141909.811
2000-10-01	137238.5862
2000-11-01	133227.6276
2000-12-01	140798.3857
2001-01-01	145091.5804
2001-02-01	134881.1093
2001-03-01	133071.2665
2001-04-01	140381.7669
2001-05-01	133585.2987
2001-06-01	135531.6186
2001-07-01	132323.0873
2001-08-01	120911.2514
2001-09-01	110593.3816
2001-10-01	115435.4385
2001-11-01	123190.755
2001-12-01	132078.1719
2002-01-01	130972.249
2002-02-01	127921.4164
2002-03-01	133388.4764
2002-04-01	124417.0388
2002-05-01	119978.4206
2002-06-01	108679.5315
2002-07-01	99453.33152
2002-08-01	98829.68272
2002-09-01	89886.17386
2002-10-01	96992.63959
2002-11-01	101752.8572
2002-12-01	94057.88048
2003-01-01	92126.85435
2003-02-01	87551.92617
2003-03-01	90466.46476
2003-04-01	96683.8352
2003-05-01	102371.3297
2003-06-01	104364.2025
2003-07-01	107045.2248
2003-08-01	105586.3483
2003-09-01	101285.0271
2003-10-01	105830.9973
2003-11-01	107256.3173
2003-12-01	111191.2268
2004-01-01	111386.6209
2004-02-01	116770.7486
2004-03-01	109701.8609
2004-04-01	115700.8793
2004-05-01	114262.2178
2004-06-01	115794.1323
2004-07-01	113353.3473
2004-08-01	112728.9374
2004-09-01	114549.2472
2004-10-01	112983.4154
2004-11-01	116565.1268
2004-12-01	119506.1655
2005-01-01	117886.4408
2005-02-01	122843.6495
2005-03-01	123253.8579
2005-04-01	117456.872
2005-05-01	123424.2391
2005-06-01	127333.794
2005-07-01	133797.4309
2005-08-01	132436.9895
2005-09-01	138750.2357
2005-10-01	138982.7841
2005-11-01	147399.2597
2005-12-01	148783.162
2006-01-01	154086.6818
2006-02-01	151638.5824
2006-03-01	157339.136
2006-04-01	156389.5709
2006-05-01	148629.6279
2006-06-01	151115.351
2006-07-01	151977.6692
2006-08-01	159550.9208
2006-09-01	162126.0034
2006-10-01	166262.2425
2006-11-01	168291.2701
2006-12-01	176691.0792
2007-01-01	181375.6189
2007-02-01	177097.6701
2007-03-01	178403.0378
2007-04-01	188338.1479
2007-05-01	196857.578
2007-06-01	197351.5929
2007-07-01	185445.7171
2007-08-01	180821.1606
2007-09-01	187569.9487
2007-10-01	194120.6016
2007-11-01	179900.07
2007-12-01	177199.7147
2008-01-01	156061.4732
2008-02-01	151047.6046
