strategy,start_date,end_date,final_value,return_pct,cagr_pct,max_drawdown_pct,lump_final,beats_lump
Hybrid25pct_7y,1999-08,2009-08,5175239.673682618,-48.24760326317382,-6.37473784638315,75.11084729344336,4964209.4015326835,True
DCA_10y,1999-08,2009-08,6039388.413070286,-39.60611586929714,-4.917783729038028,63.089927139198196,4964209.4015326835,True
Hybrid25pct_10y,1999-08,2009-08,5770593.660185886,-42.29406339814115,-5.349688099894012,71.26933377982722,4964209.4015326835,True
LumpSum,1999-09,2009-09,5526086.9839221435,-44.739130160778565,-5.7585907708815665,85.48010849595363,5526086.9839221435,False
DCA_3y,1999-09,2009-09,4223096.530549293,-57.76903469450707,-8.259077924195179,76.32374699763247,5526086.9839221435,False
Hybrid25pct_3y,1999-09,2009-09,4548844.1438925145,-54.51155856107486,-7.574862424903827,80.1293854510997,5526086.9839221435,False
DCA_5y,1999-09,2009-09,5204117.479125094,-47.95882520874907,-6.322625727772479,70.3892269819945,5526086.9839221435,False
Hybrid25pct_5y,1999-09,2009-09,5284609.855324356,-47.15390144675644,-6.178733108553358,76.22875971065164,5526086.9839221435,False
DCA_7y,1999-09,2009-09,5405845.527015544,-45.941544729844566,-5.965685455915615,70.02482793747222,5526086.9839221435,False
Hybrid25pct_7y,1999-09,2009-09,5435905.891242201,-45.64094108757799,-5.913526044129247,75.23249272774609,5526086.9839221435,False
DCA_10y,1999-09,2009-09,6261049.753709392,-37.38950246290609,-4.574440388819245,62.55458717789997,5526086.9839221435,True
Hybrid25pct_10y,1999-09,2009-09,6077309.061262579,-39.22690938737421,-4.8582506804705545,71.27251418973867,5526086.9839221435,True
LumpSum,1999-10,2009-10,4627289.572758684,-53.727104272413165,-7.416697593194909,85.48010849595364,4627289.572758684,False
DCA_3y,1999-10,2009-10,3980490.40548172,-60.1950959451828,-8.800247833406715,74.73107539734448,4627289.572758684,False
Hybrid25pct_3y,1999-10,2009-10,4142190.1973009673,-58.57809802699032,-8.436369600066085,79.06032492011501,4627289.572758684,False
DCA_5y,1999-10,2009-10,4783599.55772156,-52.164004422784394,-7.108605696257719,70.3892269819945,4627289.572758684,True
Hybrid25pct_5y,1999-10,2009-10,4744522.0614808425,-52.55477938519157,-7.184769608731245,75.47731348121548,4627289.572758684,True
DCA_7y,1999-10,2009-10,4946134.981625794,-50.538650183742064,-6.797707160769162,69.96947353515228,4627289.572758684,True
Hybrid25pct_7y,1999-10,2009-10,4866423.629409022,-51.33576370590978,-6.9490114721104,74.60305845920578,4627289.572758684,True
DCA_10y,1999-10,2009-10,5763629.503470744,-42.363704965292555,-5.361117042765606,62.01275040767642,4627289.572758684,True
Hybrid25pct_10y,1999-10,2009-10,5479544.520792728,-45.20455479207271,-5.838266326800101,70.22238677547998,4627289.572758684,True
LumpSum,1999-11,2009-11,4303512.399932367,-56.964876000676334,-8.085864695471312,85.48010849595363,4303512.399932367,False
DCA_3y,1999-11,2009-11,4050588.0502329483,-59.49411949767052,-8.640901024635117,73.41662909653627,4303512.399932367,False
Hybrid25pct_3y,1999-11,2009-11,4113819.1376578114,-58.86180862342189,-8.499278321222803,78.1617288144565,4303512.399932367,False
DCA_5y,1999-11,2009-11,4800270.014956065,-51.99729985043935,-7.07628445156987,70.3892269819945,4303512.399932367,True
Hybrid25pct_5y,1999-11,2009-11,4676080.611200142,-53.23919388799858,-7.319536097845747,74.79266211737213,4303512.399932367,True
DCA_7y,1999-11,2009-11,4941783.081838354,-50.582169181616464,-6.805910894068868,69.91330193866065,4303512.399932367,True
Hybrid25pct_7y,1999-11,2009-11,4782215.411361862,-52.17784588638138,-7.111293881763192,74.0483361964287,4303512.399932367,True
DCA_10y,1999-11,2009-11,5797994.52628863,-42.020054737113696,-5.304840453562831,61.47615094050581,4303512.399932367,True
Hybrid25pct_10y,1999-11,2009-11,5424373.994699564,-45.75626005300436,-5.933504915790633,69.26308602284593,4303512.399932367,True
LumpSum,1999-12,2009-12,4644858.7409165315,-53.55141259083469,-7.381604931696906,85.48010849595364,4644858.7409165315,False
DCA_3y,1999-12,2009-12,5118533.168832054,-48.814668311679455,-6.477834960833984,72.41672884770661,4644858.7409165315,True
Hybrid25pct_3y,1999-12,2009-12,5000114.5618531825,-49.99885438146817,-6.696487068546242,77.15526539356064,4644858.7409165315,True
DCA_5y,1999-12,2009-12,6040576.939932841,-39.59423060067159,-4.915912715717663,70.3892269819945,4644858.7409165315,True
Hybrid25pct_5y,1999-12,2009-12,5691647.390178764,-43.08352609821235,-5.479981344667295,73.75708067006467,4644858.7409165315,True
DCA_7y,1999-12,2009-12,6187218.492520311,-38.12781507479689,-4.687569296250704,69.86990155449352,4644858.7409165315,True
Hybrid25pct_7y,1999-12,2009-12,5801628.554619368,-41.98371445380632,-5.298906886882326,73.14434124285756,4644858.7409165315,True
DCA_10y,1999-12,2009-12,7309449.414932281,-26.90550585067719,-3.085565385004707,60.94412096384334,4644858.7409165315,True
Hybrid25pct_10y,1999-12,2009-12,6643301.746428343,-33.56698253571657,-4.007257872092218,67.77509574251943,4644858.7409165315,True
LumpSum,2000-01,2010-01,3419214.849282005,-65.80785150717995,-10.17594867835423,85.48010849595364,3419214.849282005,False
DCA_3y,2000-01,2010-01,4486094.074704247,-55.13905925295754,-7.703158835829937,71.1070003730139,3419214.849282005,True
Hybrid25pct_3y,2000-01,2010-01,4219374.268348694,-57.806257316513054,-8.2671672322015,75.8647592924122,3419214.849282005,True
DCA_5y,2000-01,2010-01,5192752.817030699,-48.07247182969301,-6.343102962468528,70.3892269819945,3419214.849282005,True
Hybrid25pct_5y,2000-01,2010-01,4749368.325093526,-52.50631674906474,-7.1752934075914325,72.72497655377602,3419214.849282005,True
DCA_7y,2000-01,2010-01,5290740.197028329,-47.09259802971671,-6.167855173944892,69.82844825348083,3419214.849282005,True
Hybrid25pct_7y,2000-01,2010-01,4822858.8600917505,-51.7714113990825,-7.032649245197742,72.255588178524,3419214.849282005,True
DCA_10y,2000-01,2010-01,6271998.749853837,-37.28001250146163,-4.557765983847006,60.42241910738926,3419214.849282005,True
Hybrid25pct_10y,2000-01,2010-01,5558802.77471088,-44.41197225289121,-5.702945628748635,66.2775682455176,3419214.849282005,True
LumpSum,2000-02,2010-02,2335470.735559447,-76.64529264440553,-13.53557793253496,85.48010849595364,2335470.735559447,False
DCA_3y,2000-02,2010-02,4894609.169981733,-51.05390830018267,-6.8952577920804785,70.38922698199453,2335470.735559447,True
Hybrid25pct_3y,2000-02,2010-02,4254824.56137617,-57.4517543862383,-8.19038509314196,73.54726391588258,2335470.735559447,True
DCA_5y,2000-02,2010-02,5544262.216599942,-44.557377834000576,-5.727640666307132,70.3892269819945,2335470.735559447,True
Hybrid25pct_5y,2000-02,2010-02,4742064.346339818,-52.57935653660182,-7.1895786619070705,70.51803785605257,2335470.735559447,True
