strategy,start_date,end_date,final_value,return_pct,cagr_pct,max_drawdown_pct,lump_final,beats_lump
LumpSum,1999-07,2009-07,6537757.7649707,-34.622422350293,-4.160865618126808,72.08484535301596,6537757.7649707,False
DCA_3y,1999-07,2009-07,6166846.559973348,-38.33153440026652,-4.718998303758914,60.96131401433094,6537757.7649707,False
Hybrid25pct_3y,1999-07,2009-07,6259574.361222694,-37.40425638777306,-4.576689294209791,64.2114728116686,6537757.7649707,False
DCA_5y,1999-07,2009-07,7476184.056402974,-25.238159435970264,-2.8667324756069257,60.961314014330895,6537757.7649707,True
Hybrid25pct_5y,1999-07,2009-07,7241577.48354491,-27.5842251645509,-3.1759335820476298,60.96131401433088,6537757.7649707,True
DCA_7y,1999-07,2009-07,7524968.471543839,-24.75031528456161,-2.803535361939824,60.96131401433096,6537757.7649707,True
Hybrid25pct_7y,1999-07,2009-07,7278165.794900558,-27.218342050994416,-3.127123773492979,60.961314014330924,6537757.7649707,True
DCA_10y,1999-07,2009-07,7665787.543497327,-23.342124565026733,-2.6231598149422886,56.647756286219916,6537757.7649707,True
Hybrid25pct_10y,1999-07,2009-07,7383780.098865669,-26.16219901134331,-2.9874600203541934,57.673508961228,6537757.7649707,True
LumpSum,1999-08,2009-08,6827633.036239513,-31.723669637604868,-3.744175786961279,70.83823185322935,6827633.036239513,False
DCA_3y,1999-08,2009-08,6409029.95811347,-35.9097004188653,-4.351265107149582,60.99666718649236,6827633.036239513,False
Hybrid25pct_3y,1999-08,2009-08,6513680.72764499,-34.8631927235501,-4.196219566259529,62.382899779618995,6827633.036239513,False
DCA_5y,1999-08,2009-08,7610646.874120177,-23.893531258798227,-2.693431576851979,60.99666718649232,6827633.036239513,True
Hybrid25pct_5y,1999-08,2009-08,7414893.414650007,-25.851065853499932,-2.9466587833601343,60.99666718649234,6827633.036239513,True
DCA_7y,1999-08,2009-08,7603673.280606845,-23.963267193931546,-2.7023514022912365,60.996667186492395,6827633.036239513,True
Hybrid25pct_7y,1999-08,2009-08,7409663.219515015,-25.903367804849843,-2.953506745674983,60.996667186492346,6827633.036239513,True
DCA_10y,1999-08,2009-08,7749901.191634071,-22.50098808365929,-2.516836009740564,56.30090615654028,6827633.036239513,True
Hybrid25pct_10y,1999-08,2009-08,7519334.15278543,-24.806658472145703,-2.8108153986947215,57.44967043511024,6827633.036239513,True
LumpSum,1999-09,2009-09,7034603.232980249,-29.653967670197503,-3.45629516266609,71.81428080601603,7034603.232980249,False
DCA_3y,1999-09,2009-09,6555375.466022532,-34.44624533977467,-4.13507051739781,61.079391114973234,7034603.232980249,False
Hybrid25pct_3y,1999-09,2009-09,6675182.407761968,-33.24817592238032,-3.9612909199486235,62.23996266293324,7034603.232980249,False
DCA_5y,1999-09,2009-09,7686631.203120067,-23.133687968799332,-2.5967149063634176,61.07939111497321,7034603.232980249,True
Hybrid25pct_5y,1999-09,2009-09,7523624.210585114,-24.763757894148863,-2.8052718199424675,61.07939111497321,7034603.232980249,True
DCA_7y,1999-09,2009-09,7657260.183958177,-23.42739816041822,-2.633997361347473,61.07939111497327,7034603.232980249,True
Hybrid25pct_7y,1999-09,2009-09,7501595.946213698,-24.984040537863017,-2.833766827884532,61.079391114973234,7034603.232980249,True
DCA_10y,1999-09,2009-09,7849695.575663349,-21.50304424336651,-2.392029818960195,55.94462485541152,7034603.232980249,True
Hybrid25pct_10y,1999-09,2009-09,7645922.489992571,-23.540775100074285,-2.648423437083658,57.22267139186646,7034603.232980249,True
LumpSum,1999-10,2009-10,6185886.437209915,-38.141135627900844,-4.689621490325746,72.52462573208506,6185886.437209915,False
DCA_3y,1999-10,2009-10,6389744.092260587,-36.102559077394126,-4.380086494607149,61.052156724287066,6185886.437209915,True
Hybrid25pct_3y,1999-10,2009-10,6338779.678497926,-36.612203215020735,-4.456627784924116,61.428245084614474,6185886.437209915,True
DCA_5y,1999-10,2009-10,7396021.5511499485,-26.039784488500516,-2.971388451251933,61.05215672428703,6185886.437209915,True
Hybrid25pct_5y,1999-10,2009-10,7093487.772664942,-29.065122273350585,-3.375784148874772,61.05215672428703,6185886.437209915,True
DCA_7y,1999-10,2009-10,7346815.810141804,-26.531841898581966,-3.0361356798992434,61.0521567242871,6185886.437209915,True
