Date	Close
1999-07-01	1478.93
1999-08-01	1457.02
1999-09-01	1506.83
1999-10-01	1563.89
1999-11-01	1641.53
1999-12-01	1722.20
2000-01-01	1707.96
2000-02-01	1718.94
2000-03-01	1705.94
2000-04-01	1648.87
2000-05-01	1522.84
2000-06-01	1591.60
2000-07-01	1453.15
2000-08-01	1511.44
2000-09-01	1470.78
2000-10-01	1379.96
2000-11-01	1362.66
2000-12-01	1283.67
2001-01-01	1300.23
2001-02-01	1241.48
2001-03-01	1277.27
2001-04-01	1366.46
2001-05-01	1310.81
2001-06-01	1300.98
2001-07-01	1190.31
2001-08-01	1103.67
2001-09-01	1023.42
2001-10-01	1059.37
2001-11-01	1050.22
2001-12-01	1032.14
2002-01-01	971.77
2002-02-01	1013.80
2002-03-01	1060.19
2002-04-01	1082.06
2002-05-01	1120.08
2002-06-01	1024.89
2002-07-01	965.00
2002-08-01	941.64
2002-09-01	921.05
2002-10-01	862.24
2002-11-01	892.71
2002-12-01	843.29
2003-01-01	821.18
2003-02-01	818.73
2003-03-01	788.00
2003-04-01	796.56
2003-05-01	837.70
2003-06-01	903.44
2003-07-01	939.40
2003-08-01	1002.01
2003-09-01	1018.80
2003-10-01	1043.36
2003-11-01	999.75
2003-12-01	1043.69
2004-01-01	1047.51
2004-02-01	1082.47
2004-03-01	1179.23
2004-04-01	1186.31
2004-05-01	1139.94
2004-06-01	1189.60
2004-07-01	1139.30
2004-08-01	1129.55
2004-09-01	1102.11
2004-10-01	1085.43
2004-11-01	1098.79
2004-12-01	1149.63
2005-01-01	1146.14
2005-02-01	1177.41
2005-03-01	1182.18
2005-04-01	1129.93
2005-05-01	1144.33
2005-06-01	1177.20
2005-07-01	1204.98
2005-08-01	1271.29
2005-09-01	1412.28
2005-10-01	1444.73
2005-11-01	1536.21
2005-12-01	1649.76
2006-01-01	1710.77
2006-02-01	1660.42
2006-03-01	1728.16
2006-04-01	1716.43
2006-05-01	1579.94
2006-06-01	1586.96
2006-07-01	1572.01
2006-08-01	1634.46
2006-09-01	1610.73
2006-10-01	1617.42
2006-11-01	1603.03
2006-12-01	1681.07
2007-01-01	1721.96
2007-02-01	1752.74
2007-03-01	1713.61
2007-04-01	1701.00
2007-05-01	1755.68
2007-06-01	1774.88
2007-07-01	1706.18
2007-08-01	1608.25
2007-09-01	1616.62
2007-10-01	1620.07
2007-11-01	1531.88
2007-12-01	1475.68
2008-01-01	1346.31
2008-02-01	1324.28
2008-03-01	1212.96
2008-04-01	1358.65
2008-05-01	1408.14
2008-06-01	1320.10
2008-07-01	1303.62
2008-08-01	1254.71
2008-09-01	1087.41
2008-10-01	867.12
2008-11-01	834.82
2008-12-01	859.24
2009-01-01	794.03
2009-02-01	756.71
2009-03-01	773.66
2009-04-01	837.79
2009-05-01	897.91
2009-06-01	929.76
2009-07-01	950.26
2009-08-01	965.73
2009-09-01	909.84
2009-10-01	894.67
2009-11-01	839.94
2009-12-01	907.59
2010-01-01	901.12
2010-02-01	894.10
2010-03-01	978.81
2010-04-01	987.04
2010-05-01	880.46
2010-06-01	841.42
2010-07-01	849.50
2010-08-01	804.67
2010-09-01	829.51
2010-10-01	810.91
2010-11-01	860.94
2010-12-01	898.80
2011-01-01	910.08
2011-02-01	951.27
2011-03-01	869.38
2011-04-01	851.85
2011-05-01	838.48
2011-06-01	849.22
2011-07-01	841.37
2011-08-01	770.60
2011-09-01	761.17
2011-10-01	764.06
2011-11-01	728.46
2011-12-01	728.61
2012-01-01	755.27
2012-02-01	835.96
2012-03-01	854.35
2012-04-01	804.27
2012-05-01	719.49
2012-06-01	770.08
2012-07-01	736.31
2012-08-01	731.64
2012-09-01	737.42
