strategy,start_date,end_date,final_value,return_pct,cagr_pct,max_drawdown_pct,lump_final,beats_lump
LumpSum,1999-11,2009-11,7272551.809178914,-27.274481908210856,-3.134598621175655,62.83769341189848,7272551.809178914,False
DCA_3y,1999-11,2009-11,7741532.451929392,-22.584675480706075,-2.5273678591897775,62.8376934118985,7272551.809178914,True
Hybrid25pct_3y,1999-11,2009-11,7624287.291241782,-23.757127087582187,-2.676005556262673,62.83769341189846,7272551.809178914,True
DCA_5y,1999-11,2009-11,8408070.289804375,-15.919297101956253,-1.7189849218775755,62.83769341189848,7272551.809178914,True
Hybrid25pct_5y,1999-11,2009-11,8124190.669648003,-18.758093303519974,-2.055960699612891,62.83769341189848,7272551.809178914,True
DCA_7y,1999-11,2009-11,8049727.250368377,-19.50272749631623,-2.1461051267154474,62.837693411898535,7272551.809178914,True
Hybrid25pct_7y,1999-11,2009-11,7855433.390071011,-21.445666099289884,-2.3848974113790056,62.8376934118985,7272551.809178914,True
DCA_10y,1999-11,2009-11,7979523.324696948,-20.204766753030523,-2.2317830382910797,57.61661583158821,7272551.809178914,True
Hybrid25pct_10y,1999-11,2009-11,7802780.445817432,-21.972195541825677,-2.450524488024264,58.93610963128536,7272551.809178914,True
LumpSum,1999-12,2009-12,7487077.039562703,-25.12922960437297,-2.8525891915067603,62.83769341189848,7487077.039562703,False
DCA_3y,1999-12,2009-12,8558067.718293073,-14.419322817069268,-1.5450463945134163,62.8376934118985,7487077.039562703,True
Hybrid25pct_3y,1999-12,2009-12,8290320.048610491,-17.09679951389509,-1.857497052053303,62.837693411898464,7487077.039562703,True
DCA_5y,1999-12,2009-12,9235849.380194142,-7.641506198058579,-0.7917739212092822,62.83769341189848,7487077.039562703,True
Hybrid25pct_5y,1999-12,2009-12,8798656.295036273,-12.013437049637265,-1.271705380819299,62.83769341189848,7487077.039562703,True
DCA_7y,1999-12,2009-12,8802700.31855302,-11.972996814469806,-1.2671685859076187,62.837693411898535,7487077.039562703,True
Hybrid25pct_7y,1999-12,2009-12,8473794.498805447,-15.262055011945531,-1.6424295158246505,62.8376934118985,7487077.039562703,True
DCA_10y,1999-12,2009-12,8768750.528910523,-12.312494710894772,-1.3053135917743597,57.235200303155295,7487077.039562703,True
Hybrid25pct_10y,1999-12,2009-12,8448332.15657356,-15.516678434264398,-1.6720243683569835,58.58877795002515,7487077.039562703,True
LumpSum,2000-01,2010-01,7061456.002587277,-29.385439974127227,-3.4195052644366397,62.83769341189848,7061456.002587277,False
DCA_3y,2000-01,2010-01,8067497.02379668,-19.325029762033196,-2.124525306974212,62.837693411898485,7061456.002587277,True
Hybrid25pct_3y,2000-01,2010-01,7815986.768494339,-21.840132315056614,-2.4340266546841627,62.83769341189846,7061456.002587277,True
DCA_5y,2000-01,2010-01,8618086.22112796,-13.819137788720393,-1.476215988123708,62.83769341189848,7061456.002587277,True
Hybrid25pct_5y,2000-01,2010-01,8228928.666492781,-17.710713335072192,-1.9304167487616875,62.83769341189848,7061456.002587277,True
DCA_7y,2000-01,2010-01,8175427.02517076,-18.245729748292394,-1.9943655132971583,62.837693411898535,7061456.002587277,True
Hybrid25pct_7y,2000-01,2010-01,7896934.269524894,-21.030657304751067,-2.3334487713195906,62.8376934118985,7061456.002587277,True
DCA_10y,2000-01,2010-01,8178195.963244584,-18.218040367554156,-1.9910466630291168,56.85485290789683,7061456.002587277,True
Hybrid25pct_10y,2000-01,2010-01,7899010.973080249,-21.009890269197516,-2.33088068009365,58.31759939290115,7061456.002587277,True
LumpSum,2000-02,2010-02,6872361.732236297,-31.276382677637027,-3.6813024962518925,62.837693411898464,6872361.732236297,False
DCA_3y,2000-02,2010-02,8153782.110612423,-18.46217889387577,-2.02034403614465,62.8376934118985,6872361.732236297,True
Hybrid25pct_3y,2000-02,2010-02,7833427.016018402,-21.665729839815985,-2.4122780435662405,62.837693411898464,6872361.732236297,True
DCA_5y,2000-02,2010-02,8619807.939976055,-13.801920600239448,-1.4742478596600606,62.83769341189848,6872361.732236297,True
Hybrid25pct_5y,2000-02,2010-02,8182946.388041107,-18.17053611958893,-1.9853551570975125,62.83769341189848,6872361.732236297,True
DCA_7y,2000-02,2010-02,8135579.194491777,-18.644208055082235,-2.0422395160192286,62.83769341189852,6872361.732236297,True
Hybrid25pct_7y,2000-02,2010-02,7819774.828927912,-21.802251710720878,-2.4292990977655693,62.8376934118985,6872361.732236297,True
DCA_10y,2000-02,2010-02,8180478.564430945,-18.19521435569056,-1.9883114967310656,56.47219556152498,6872361.732236297,True
Hybrid25pct_10y,2000-02,2010-02,7853449.356382275,-21.46550643617725,-2.3873631399755846,58.002538809109694,6872361.732236297,True
LumpSum,2000-03,2010-03,7681795.1234945,-23.182048765054997,-2.6028448148592287,62.83769341189848,7681795.1234945,False
DCA_3y,2000-03,2010-03,9230607.404301174,-7.693925956988257,-0.7974061048761416,62.8376934118985,7681795.1234945,True
Hybrid25pct_3y,2000-03,2010-03,8843404.334099514,-11.565956659004861,-1.2216088765704347,62.83769341189846,7681795.1234945,True
DCA_5y,2000-03,2010-03,9631198.60432442,-3.688013956755787,-0.3750689453593914,62.83769341189848,7681795.1234945,True
Hybrid25pct_5y,2000-03,2010-03,9143847.734116932,-8.561522658830679,-0.8910446430814734,62.837693411898464,7681795.1234945,True
DCA_7y,2000-03,2010-03,9051159.301550321,-9.48840698449679,-0.9919696391183064,62.837693411898535,7681795.1234945,True
Hybrid25pct_7y,2000-03,2010-03,8708818.257036366,-12.91181742963634,-1.3729773746876006,62.837693411898485,7681795.1234945,True
DCA_10y,2000-03,2010-03,9145954.669838231,-8.54045330161769,-0.8887612000985645,56.08915058958368,7681795.1234945,True
Hybrid25pct_10y,2000-03,2010-03,8779914.783252288,-12.200852167477127,-1.2927551115498037,57.717756002713685,7681795.1234945,True
LumpSum,2000-04,2010-04,7593836.565411418,-24.061634345885818,-2.7149459320009894,62.83769341189848,7593836.565411418,False
DCA_3y,2000-04,2010-04,9378119.46334523,-6.218805366547708,-0.6400015470164444,62.837693411898485,7593836.565411418,True
Hybrid25pct_3y,2000-04,2010-04,8932048.73886179,-10.679512611382103,-1.1230393226422608,62.837693411898464,7593836.565411418,True
DCA_5y,2000-04,2010-04,9671657.075512575,-3.2834292448742475,-0.3332976829624301,62.83769341189848,7593836.565411418,True
Hybrid25pct_5y,2000-04,2010-04,9152201.947987279,-8.477980520127215,-0.8819933419631609,62.83769341189848,7593836.565411418,True
DCA_7y,2000-04,2010-04,9050229.197808674,-9.497708021913265,-0.9929870999214163,62.83769341189852,7593836.565411418,True
Hybrid25pct_7y,2000-04,2010-04,8686131.03970936,-13.138689602906407,-1.3987007282735386,62.837693411898485,7593836.565411418,True
DCA_10y,2000-04,2010-04,9181100.678850176,-8.188993211498241,-0.8507405056457529,55.70437163442891,7593836.565411418,True
Hybrid25pct_10y,2000-04,2010-04,8784284.650490478,-12.15715349509522,-1.2878434354129609,57.41127997966875,7593836.565411418,True
LumpSum,2000-05,2010-05,6838070.580144014,-31.619294198559857,-3.729471072832191,62.83769341189848,6838070.580144014,False
DCA_3y,2000-05,2010-05,8309107.124871783,-16.908928751282172,-1.8352791748692976,62.837693411898485,6838070.580144014,True
Hybrid25pct_3y,2000-05,2010-05,7941347.988689854,-20.586520113101457,-2.278657946165741,62.83769341189846,6838070.580144014,True
DCA_5y,2000-05,2010-05,8496804.428139064,-15.031955718609357,-1.6157538630483415,62.837693411898464,6838070.580144014,True
Hybrid25pct_5y,2000-05,2010-05,8082120.966140294,-19.17879033859705,-2.1067978869276915,62.837693411898464,6838070.580144014,True
DCA_7y,2000-05,2010-05,7906901.386149401,-20.930986138505993,-2.3211287820108284,62.83769341189852,6838070.580144014,True
Hybrid25pct_7y,2000-05,2010-05,7639693.684648058,-23.60306315351942,-2.6563571616764814,62.8376934118985,6838070.580144014,True
DCA_10y,2000-05,2010-05,8055950.479295896,-19.44049520704103,-2.138542691146361,55.31878822424543,6838070.580144014,True
Hybrid25pct_10y,2000-05,2010-05,7751480.504507917,-22.48519495492083,-2.514849632165017,57.15941237113342,6838070.580144014,True
LumpSum,2000-06,2010-06,6357910.450213256,-36.420895497867434,-4.427831378260983,62.83769341189848,6357910.450213256,False
DCA_3y,2000-06,2010-06,7842556.067781485,-21.574439322185157,-2.40091116029566,62.8376934118985,6357910.450213256,True
Hybrid25pct_3y,2000-06,2010-06,7471394.663389441,-25.286053366105598,-2.8729568215284274,62.837693411898464,6357910.450213256,True
DCA_5y,2000-06,2010-06,7963619.529278205,-20.363804707217948,-2.251286484460724,62.83769341189848,6357910.450213256,True
Hybrid25pct_5y,2000-06,2010-06,7562192.259511961,-24.378077404880393,-2.755561845872756,62.837693411898464,6357910.450213256,True
DCA_7y,2000-06,2010-06,7373759.924907496,-26.262400750925043,-3.0006331735273006,62.837693411898535,6357910.450213256,True
Hybrid25pct_7y,2000-06,2010-06,7119797.556233939,-28.802024437660613,-3.3400058515648867,62.837693411898485,6357910.450213256,True
DCA_10y,2000-06,2010-06,7558226.5610528225,-24.41773438947178,-2.7606626571364923,54.929907090764296,6357910.450213256,True
Hybrid25pct_10y,2000-06,2010-06,7258147.533342924,-27.418524666570764,-3.1538012497619006,56.86051084606119,6357910.450213256,True
LumpSum,2000-07,2010-07,6690798.219299472,-33.09201780700528,-3.938847399556622,62.83769341189848,6690798.219299472,False
DCA_3y,2000-07,2010-07,8354069.913890706,-16.45930086109294,-1.7822885412991596,62.8376934118985,6690798.219299472,True
Hybrid25pct_3y,2000-07,2010-07,7938251.990242911,-20.617480097570894,-2.2824683598903994,62.83769341189846,6690798.219299472,True
DCA_5y,2000-07,2010-07,8424975.389326544,-15.750246106734556,-1.6992425912408127,62.837693411898464,6690798.219299472,True
Hybrid25pct_5y,2000-07,2010-07,7991431.096819771,-20.08568903180229,-2.2172029619925038,62.837693411898464,6690798.219299472,True
DCA_7y,2000-07,2010-07,7765435.069551472,-22.34564930448528,-2.4973141164441826,62.837693411898535,6690798.219299472,True
Hybrid25pct_7y,2000-07,2010-07,7496775.856988475,-25.032241430115253,-2.8400119708187566,62.837693411898485,6690798.219299472,True
DCA_10y,2000-07,2010-07,8013553.78791282,-19.864462120871806,-2.1901673972297364,54.53970282656439,6690798.219299472,True
Hybrid25pct_10y,2000-07,2010-07,7682864.895759475,-23.17135104240524,-2.6014885401249632,56.56357243501796,6690798.219299472,True
LumpSum,2000-08,2010-08,6229374.457198386,-37.70625542801614,-4.622827423891729,62.837693411898464,6229374.457198386,False
DCA_3y,2000-08,2010-08,7910905.099113279,-20.89094900886721,-2.316183872985378,62.8376934118985,6229374.457198386,True
Hybrid25pct_3y,2000-08,2010-08,7490522.438634567,-25.09477561365433,-2.848119592688314,62.837693411898464,6229374.457198386,True
DCA_5y,2000-08,2010-08,7924098.944333767,-20.75901055666234,-2.2999043338435943,62.837693411898485,6229374.457198386,True
Hybrid25pct_5y,2000-08,2010-08,7500417.822549917,-24.995821774500836,-2.8352929288687156,62.83769341189848,6229374.457198386,True
DCA_7y,2000-08,2010-08,7279257.700163299,-27.207422998367004,-3.1256705383514993,62.81962260348999,6229374.457198386,True
Hybrid25pct_7y,2000-08,2010-08,7016786.889422075,-29.832131105779247,-3.4807744297805088,62.823634853663634,6229374.457198386,True
DCA_10y,2000-08,2010-08,7554453.706786303,-24.455462932136975,-2.7655176622209288,54.14805744510633,6229374.457198386,True
Hybrid25pct_10y,2000-08,2010-08,7223183.894389317,-27.76816105610682,-3.2005550267210636,56.25641621995114,6229374.457198386,True
LumpSum,2000-09,2010-09,6960537.896847738,-30.394621031522618,-3.5584281198555834,62.83769341189848,6960537.896847738,False
DCA_3y,2000-09,2010-09,8626486.60588833,-13.735133941116706,-1.4666167004438235,62.837693411898485,6960537.896847738,True
Hybrid25pct_3y,2000-09,2010-09,8209999.42862819,-17.90000571371809,-1.9529993591883343,62.837693411898464,6960537.896847738,True
DCA_5y,2000-09,2010-09,8580035.48282269,-14.199645171773101,-1.51980306793561,62.83769341189848,6960537.896847738,True
Hybrid25pct_5y,2000-09,2010-09,8175161.086328949,-18.248389136710507,-1.9946843209432075,62.837693411898464,6960537.896847738,True
DCA_7y,2000-09,2010-09,7855595.598930696,-21.44404401069304,-2.38469584532196,62.79377592911579,6960537.896847738,True
Hybrid25pct_7y,2000-09,2010-09,7631831.17340996,-23.6816882659004,-2.6663800789317293,62.803798691252425,6960537.896847738,True
DCA_10y,2000-09,2010-09,8202281.599901839,-17.977184000981605,-1.962220191193087,53.755400791457994,6960537.896847738,True
Hybrid25pct_10y,2000-09,2010-09,7891845.674138309,-21.081543258616907,-2.3397439956990507,56.017825815222885,6960537.896847738,True
LumpSum,2000-10,2010-10,7274052.700784818,-27.259472992151814,-3.1325997221431257,62.837693411898485,7274052.700784818,False
DCA_3y,2000-10,2010-10,8796668.011780323,-12.03331988219677,-1.2739366281019127,62.837693411898485,7274052.700784818,True
Hybrid25pct_3y,2000-10,2010-10,8416014.184031457,-15.839858159685438,-1.7097033361492597,62.83769341189846,7274052.700784818,True
DCA_5y,2000-10,2010-10,8674016.290113544,-13.259837098864558,-1.4124615203392588,62.83769341189848,7274052.700784818,True
Hybrid25pct_5y,2000-10,2010-10,8324025.392781359,-16.75974607218641,-1.8176687896938493,62.83769341189848,7274052.700784818,True
DCA_7y,2000-10,2010-10,7918810.759227362,-20.811892407726372,-2.3064263550458985,62.77888441529234,7274052.700784818,True
Hybrid25pct_7y,2000-10,2010-10,7757621.24461673,-22.423787553832696,-2.5071295885812805,62.792686900693525,7274052.700784818,True
DCA_10y,2000-10,2010-10,8315170.826635839,-16.848291733641606,-1.8281178012334198,53.35857532233616,7274052.700784818,True
Hybrid25pct_10y,2000-10,2010-10,8054891.295173079,-19.451087048269212,-2.1398294348431435,55.78390135746887,7274052.700784818,True
LumpSum,2000-11,2010-11,7544607.767225603,-24.553922327743972,-2.778197954272177,62.837693411898464,7544607.767225603,False
DCA_3y,2000-11,2010-11,8917578.00168094,-10.824219983190597,-1.139069986527197,62.8376934118985,7544607.767225603,True
Hybrid25pct_3y,2000-11,2010-11,8574335.443067115,-14.256645569328851,-1.5263474339045402,62.83769341189846,7544607.767225603,True
DCA_5y,2000-11,2010-11,8732173.01300931,-12.678269869906899,-1.3465600700962477,62.83769341189848,7544607.767225603,True
Hybrid25pct_5y,2000-11,2010-11,8435281.70156338,-15.647182984366193,-1.6872240276806227,62.837693411898464,7544607.767225603,True
DCA_7y,2000-11,2010-11,7947753.314390259,-20.52246685609741,-2.270778805872087,62.7739606466601,7544607.767225603,True
Hybrid25pct_7y,2000-11,2010-11,7846966.927599097,-21.530330724009026,-2.395423319606027,62.78929984965082,7544607.767225603,True
DCA_10y,2000-11,2010-11,8395262.692956895,-16.04737307043106,-1.7339658536559166,52.95708984360655,7544607.767225603,True
Hybrid25pct_10y,2000-11,2010-11,8182598.9615240665,-18.17401038475933,-1.9857713096138263,55.546349453995646,7544607.767225603,True
LumpSum,2000-12,2010-12,7407936.517272158,-25.92063482727842,-2.955768494522415,62.837693411898464,7407936.517272158,False
DCA_3y,2000-12,2010-12,9306262.00408325,-6.9373799591675,-0.7163974082621261,62.837693411898485,7407936.517272158,True
Hybrid25pct_3y,2000-12,2010-12,8831680.632380486,-11.683193676195147,-1.2347117471598446,62.837693411898464,7407936.517272158,True
DCA_5y,2000-12,2010-12,9048667.053871706,-9.513329461282938,-0.9946961750853189,62.83769341189848,7407936.517272158,True
Hybrid25pct_5y,2000-12,2010-12,8638484.419721818,-13.61515580278182,-1.4529211369322725,62.83769341189848,7407936.517272158,True
DCA_7y,2000-12,2010-12,8223054.860944843,-17.769451390551573,-1.9374192007144742,62.74607403879303,7407936.517272158,True
Hybrid25pct_7y,2000-12,2010-12,8019275.275026673,-19.807247249733262,-2.1831862501166643,62.767272856515966,7407936.517272158,True
DCA_10y,2000-12,2010-12,8732839.249488251,-12.671607505117489,-1.3458074021882482,52.550814781197396,7407936.517272158,True
Hybrid25pct_10y,2000-12,2010-12,8401613.566434223,-15.98386433565777,-1.7265347245951634,55.14364521123629,7407936.517272158,True
LumpSum,2001-01,2011-01,7400885.323873692,-25.991146761263074,-2.9650095418235045,62.83769341189848,7400885.323873692,False
DCA_3y,2001-01,2011-01,9637307.840198267,-3.6269215980173297,-0.368751366750375,62.837693411898485,7400885.323873692,True
Hybrid25pct_3y,2001-01,2011-01,9078202.211117132,-9.217977888828688,-0.9624278747988657,62.837693411898464,7400885.323873692,True
DCA_5y,2001-01,2011-01,9308879.972929256,-6.9112002707074405,-0.7136047888341657,62.83769341189848,7400885.323873692,True
Hybrid25pct_5y,2001-01,2011-01,8831881.310665363,-11.681186893346363,-1.2344873295566994,62.83769341189848,7400885.323873692,True
DCA_7y,2001-01,2011-01,8447073.753378885,-15.529262466211147,-1.6734890898077892,62.71327420275672,7400885.323873692,True
Hybrid25pct_7y,2001-01,2011-01,8185526.646002592,-18.14473353997409,-1.9822649842271667,62.74147020557847,7400885.323873692,True
DCA_10y,2001-01,2011-01,9012791.374153823,-9.872086258461776,-1.034019487019311,52.14731503889486,7400885.323873692,True
Hybrid25pct_10y,2001-01,2011-01,8609814.861583786,-13.901851384162134,-1.4856760677402492,54.786567992750925,7400885.323873692,True
LumpSum,2001-02,2011-02,8185128.21943406,-18.1487178056594,-1.9827420912836735,62.837693411898485,8185128.21943406,False
DCA_3y,2001-02,2011-02,9972424.546589352,-0.275754534106476,-0.027609731544075977,62.8376934118985,8185128.21943406,True
Hybrid25pct_3y,2001-02,2011-02,9525600.464800537,-4.743995351994634,-0.4848421578919737,62.83769341189846,8185128.21943406,True
DCA_5y,2001-02,2011-02,9563394.949105565,-4.366050508944353,-0.4454281010178307,62.83769341189848,8185128.21943406,True
Hybrid25pct_5y,2001-02,2011-02,9218828.266687687,-7.811717333123125,-0.8100725797000052,62.83769341189848,8185128.21943406,True
DCA_7y,2001-02,2011-02,8678376.499572126,-13.216235004278742,-1.4075068938096624,62.63706901406725,8185128.21943406,True
Hybrid25pct_7y,2001-02,2011-02,8555064.429537613,-14.449355704623867,-1.5485020269061622,62.68525311893184,8185128.21943406,True
DCA_10y,2001-02,2011-02,9288647.468838293,-7.113525311617064,-0.7352054523667162,51.74463633313532,8185128.21943406,True
Hybrid25pct_10y,2001-02,2011-02,9012767.65648723,-9.872323435127694,-1.0340455305036356,54.64121989864229,8185128.21943406,True
LumpSum,2001-03,2011-03,8341165.002739341,-16.588349972606586,-1.7974712342104349,62.837693411898464,8341165.002739341,False
DCA_3y,2001-03,2011-03,10061624.672322644,0.6162467232264435,0.06145444431997493,62.837693411898485,8341165.002739341,True
Hybrid25pct_3y,2001-03,2011-03,9631509.754926823,-3.684902450731764,-0.3747470964603927,62.837693411898464,8341165.002739341,True
DCA_5y,2001-03,2011-03,9599780.984309245,-4.002190156907548,-0.40761507447200085,62.837693411898464,8341165.002739341,True
Hybrid25pct_5y,2001-03,2011-03,9285126.988916768,-7.148730110832324,-0.7389683180945239,62.83769341189848,8341165.002739341,True
DCA_7y,2001-03,2011-03,8714664.097686773,-12.85335902313227,-1.3663589821894084,62.54813942012073,8341165.002739341,True
Hybrid25pct_7y,2001-03,2011-03,8621289.323949922,-13.787106760500778,-1.4725547455568089,62.61858878600959,8341165.002739341,True
DCA_10y,2001-03,2011-03,9353914.966735847,-6.460850332641533,-0.6656757402183966,51.33303385252107,8341165.002739341,True
Hybrid25pct_10y,2001-03,2011-03,9100727.475736715,-8.992725242632849,-0.9378815990396583,54.37343574615656,8341165.002739341,True
LumpSum,2001-04,2011-04,8064619.558510488,-19.353804414895126,-2.128016829725754,62.83769341189848,8064619.558510488,False
DCA_3y,2001-04,2011-04,10312808.518310893,3.128085183108942,0.30849060739794876,62.83769341189848,8064619.558510488,True
Hybrid25pct_3y,2001-04,2011-04,9750761.278360795,-2.4923872163920446,-0.252079057800636,62.837693411898464,8064619.558510488,True
