amounts,ratios,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_trigger_count
"(200, 200, 200, 200, 200)","(0.3, 0.3, 0.3, 0.3, 0.3)",254.64093014865168,227.34150675145983,-32.8427174497097,830.3971880371569,11.112192771123903,39.67966477319549,64.78296813479804,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.5, 0.3, 0.3, 0.3, 0.3)",249.9305091725595,224.48055336614078,-32.522035943998574,815.7653585927947,11.055476025080491,39.321733301775865,64.39322876480612,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.3, 0.3, 0.3)",245.89639974440428,216.68460242814893,-30.680406374229886,799.849935488542,11.01906991322268,38.930872794694714,63.88599733195364,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.7, 0.3, 0.3, 0.3, 0.3)",245.22008819646734,216.5292760525548,-32.201354438287446,802.2461450746745,10.993884949935971,38.95999119837638,63.99882132772229,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.5)",242.76872876269218,211.23457204453544,-24.455865633770323,768.7386399799126,11.109122631010974,38.07124428325819,61.8488895508188,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.3, 0.3)",242.10523480971656,209.49713451261326,-28.806488655511387,784.2942877342273,10.982282339587574,38.53927998040327,63.230495172567935,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.3)",241.892283463337,210.32423039806406,-26.93257093679289,768.7386399799126,11.034992398123087,38.26258156379317,62.586856457329276,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.3, 0.3, 0.3)",241.18597876831214,209.3686936458473,-30.359724868518757,787.4574065728088,10.953205762619877,38.56419758200372,63.493783503131965,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.5, 0.5)",238.05830778659995,205.03865288267727,-24.135184128059183,756.3461110641795,11.037154661214412,37.74319009055171,61.45766790185196,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.3, 0.3)",237.39481383362443,205.03865288267727,-28.485807149800245,771.9017588184942,10.912536066399312,38.20507377402465,62.83804556387188,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.5, 0.3)",237.18186248724479,205.03865288267727,-26.61188943108177,756.3461110641795,10.964013796686714,37.93312504962855,62.1942441959809,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.3, 0.3, 0.3)",237.15186934015688,205.03865288267727,-28.51809529875007,772.6686680709432,10.908147664878404,38.21985508331656,63.00186781790996,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.5)",234.02419835844478,204.05397261090138,-22.293554558290506,741.5573725623141,10.985472415719782,37.43647826796423,61.00701957300404,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.3, 0.3)",233.36070440546916,202.58707755709872,-26.64417758003157,757.1130203166288,10.863515377001162,37.880727072969655,62.35903168330069,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.3)",233.14775305908958,203.28310178592668,-24.770259861313082,741.5573725623141,10.913554688546938,37.612641249724895,61.72774797719251,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.7, 0.7)",230.89652737673262,199.34888265072482,-16.069013817830925,710.4460770536842,11.048074704091524,36.86226003049399,60.19613284552218,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.5, 0.5)",230.23303342375706,199.34888265072482,-20.419636839572007,726.0017248079992,10.934171127494029,37.156270328774674,60.691028230675336,1507389.1625615763,4.246305418719212
"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.7, 0.5)",230.02008207737745,199.34888265072482,-18.54571912085351,710.4460770536842,10.979866936322502,36.97757036689718,60.45782499991118,1507389.1625615763,4.246305418719212
