Date	Close
1999-07-01	6478.88131
1999-08-01	6550.106122
1999-09-01	6388.903217
1999-10-01	6848.520241
1999-11-01	7545.78009
1999-12-01	9336.697528
2000-01-01	9647.999725
2000-02-01	11790.33026
2000-03-01	11274.1199
2000-04-01	10216.39506
2000-05-01	8933.289772
2000-06-01	9878.860079
2000-07-01	9785.035164
2000-08-01	10867.00606
2000-09-01	9589.833196
2000-10-01	8888.469445
2000-11-01	6951.544253
2000-12-01	6690.358786
2001-01-01	7502.52402
2001-02-01	5570.155471
2001-03-01	4937.206524
2001-04-01	5693.986873
2001-05-01	5333.15805
2001-06-01	5700.161153
2001-07-01	5220.417689
2001-08-01	4295.1875
2001-09-01	3462.240635
2001-10-01	4149.360052
2001-11-01	4894.792379
2001-12-01	5123.279629
2002-01-01	5193.843512
2002-02-01	4508.279027
2002-03-01	4792.734732
2002-04-01	4078.256861
2002-05-01	3726.762327
2002-06-01	3119.471912
2002-07-01	2856.752971
2002-08-01	2792.961036
2002-09-01	2524.317638
2002-10-01	3006.147425
2002-11-01	3396.254307
2002-12-01	2892.718926
2003-01-01	2930.60049
2003-02-01	2971.144308
2003-03-01	2979.752554
2003-04-01	3261.608992
2003-05-01	3553.947091
2003-06-01	3584.116445
2003-07-01	3833.807922
2003-08-01	3895.611239
2003-09-01	3608.02183
2003-10-01	3869.8
2003-11-01	3886.846822
2003-12-01	3915.804056
2004-01-01	3918.669666
2004-02-01	3987.958612
2004-03-01	3734.886367
2004-04-01	3837.564995
2004-05-01	4002.955877
2004-06-01	4108.753904
2004-07-01	3885.350421
2004-08-01	3713.963338
2004-09-01	3868.211264
2004-10-01	3902.544079
2004-11-01	4025.65386
2004-12-01	4091.686735
2005-01-01	3874.639943
2005-02-01	3890.606555
2005-03-01	3918.109778
2005-04-01	3659.607696
2005-05-01	4127.872058
2005-06-01	4077.430822
2005-07-01	4460.102379
2005-08-01	4313.137059
2005-09-01	4477.131564
2005-10-01	4526.022895
2005-11-01	4937.25285
2005-12-01	4773.061345
2006-01-01	4927.019897
2006-02-01	4758.969038
2006-03-01	4937.67689
2006-04-01	4757.508013
2006-05-01	4368.414553
2006-06-01	4438.777217
2006-07-01	4248.321079
2006-08-01	4561.783224
2006-09-01	4797.91945
2006-10-01	4972.918239
2006-11-01	5094.547213
2006-12-01	5137.76644
2007-01-01	5321.011706
2007-02-01	5144.571045
2007-03-01	5128.704587
2007-04-01	5485.785628
2007-05-01	5772.1675
2007-06-01	5862.416174
2007-07-01	5628.502513
2007-08-01	5657.679736
2007-09-01	5902.896184
2007-10-01	6349.911666
2007-11-01	5734.40571
2007-12-01	5718.713078
2008-01-01	4795.107605
2008-02-01	4456.921356
2008-03-01	4365.441933
2008-04-01	4907.149067
2008-05-01	5272.554315
2008-06-01	4793.440524
2008-07-01	4901.042489
2008-08-01	5000.791614
2008-09-01	4127.183688
2008-10-01	3237.69168
2008-11-01	2776.300693
2008-12-01	2695.931045
2009-01-01	2613.075147
2009-02-01	2688.85505
2009-03-01	3000.770437
2009-04-01	3383.093284
2009-05-01	3372.138435
2009-06-01	3504.521827
2009-07-01	3733.547976
2009-08-01	3717.58621
2009-09-01	3797.007616
2009-10-01	3699.507188
2009-11-01	3757.05
2009-12-01	4250.632668
2010-01-01	3860.941844
2010-02-01	3978.716373
2010-03-01	4503.923038
2010-04-01	4619.954715
2010-05-01	4158.264111
2010-06-01	3776.845313
2010-07-01	3960.27436
2010-08-01	3673.760619
2010-09-01	4110.397563
2010-10-01	4262.010265
2010-11-01	4388.369476
2010-12-01	4437.400983
2011-01-01	4596.983826
2011-02-01	4715.213251
2011-03-01	4775.304588
2011-04-01	4816.792328
2011-05-01	4720.15664
2011-06-01	4604.505448
2011-07-01	4508.340195
2011-08-01	4223.156862
2011-09-01	4029.394818
2011-10-01	4389.132876
2011-11-01	4396.164348
2011-12-01	4335.701779
2012-01-01	4622.070837
2012-02-01	5183.717016
2012-03-01	5597.193041
2012-04-01	5364.165898
2012-05-01	4901.62306
2012-06-01	5120.609443
2012-07-01	5060.944666
2012-08-01	5352.604717
2012-09-01	5345.854202
2012-10-01	5175.475677
2012-11-01	5405.535864
2012-12-01	5598.583336
2013-01-01	6086.574519
2013-02-01	6193.531394
2013-03-01	6502.491516
2013-04-01	6920.941968
2013-05-01	7405.574888
2013-06-01	7082.812404
2013-07-01	7426.672232
2013-08-01	7407.380615
2013-09-01	7716.594034
2013-10-01	8155.394843
2013-11-01	8781.323926
2013-12-01	9229.994474
2014-01-01	8864.932939
2014-02-01	9224.617455
2014-03-01	9020.278625
2014-04-01	8963.068221
2014-05-01	9298.37055
2014-06-01	9526.512205
2014-07-01	9771.856452
2014-08-01	10388.89366
2014-09-01	10806.63804
2014-10-01	11074.19794
2014-11-01	12596.74388
2014-12-01	12334.03852
2015-01-01	11874.19469
2015-02-01	12966.50726
2015-03-01	12673.37285
2015-04-01	12804.74123
2015-05-01	13626.39097
2015-06-01	13134.2767
2015-07-01	13889.74835
2015-08-01	12651.65574
2015-09-01	12196.95366
2015-10-01	13670.68718
2015-11-01	14005.07681
2015-12-01	13473.53666
2016-01-01	12635.13382
2016-02-01	11650.15038
2016-03-01	12270.36691
2016-04-01	11243.32184
2016-05-01	12230.19632
2016-06-01	11052.74611
2016-07-01	11791.71644
2016-08-01	11977.94948
2016-09-01	12014.34498
2016-10-01	12233.05964
2016-11-01	13215.22514
2016-12-01	13849.12713
2017-01-01	14157.38069
2017-02-01	14659.10526
2017-03-01	14796.90701
2017-04-01	15135.95925
2017-05-01	15660.44187
2017-06-01	15416.91913
2017-07-01	15828.34761
2017-08-01	16149.25187
2017-09-01	16435.02772
2017-10-01	17192.34173
2017-11-01	17377.11013
2017-12-01	17551.03685
2018-01-01	18419.20118
2018-02-01	17962.70188
2018-03-01	17017.01456
2018-04-01	17558.23205
2018-05-01	18488.6495
2018-06-01	18964.92191
2018-07-01	19584.89188
2018-08-01	20717.96345
2018-09-01	21121.16432
2018-10-01	19198.49097
2018-11-01	19208.4216
2018-12-01	17019.50608
2019-01-01	18326.24543
2019-02-01	19200.1897
2019-03-01	19918.90469
2019-04-01	21167.25895
2019-05-01	19022.65054
2019-06-01	20120.67509
2019-07-01	20746.19752
2019-08-01	19953.93252
2019-09-01	20380.90669
2019-10-01	21440.13641
2019-11-01	22447.16944
2019-12-01	23147.48876
2020-01-01	23851.68415
2020-02-01	22254.38913
2020-03-01	20569.8647
2020-04-01	23337.99523
2020-05-01	25146.8741
2020-06-01	26639.28309
2020-07-01	27823.69421
2020-08-01	31120.16188
2020-09-01	29357.68617
2020-10-01	28164.75675
2020-11-01	31185.04906
2020-12-01	32353.18323
2021-01-01	32928.1409
2021-02-01	33465.33382
2021-03-01	35201.63475
2021-04-01	36808.46273
2021-05-01	36701.24374
2021-06-01	39176.92135
