asset,strategy,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,win_rate_vs_lump
qqq_multiply_dollar_yen_since199907,DCA_10y,147.86825047509495,168.27088945346742,-15.942410960204356,291.3959344733498,8.705523282809335,26.660576834391726,54.806763319570486,17.24137931034483
qqq_multiply_dollar_yen_since199907,DCA_3y,272.30819643527536,317.38219969913297,-37.70749375858319,583.6938945430022,12.280815202650803,37.549097845667234,62.315295395336044,32.51231527093596
qqq_multiply_dollar_yen_since199907,DCA_5y,232.7295164988715,277.24607761198786,-18.75134744306669,484.2407823736129,11.376618616204398,34.65485295434605,58.84863783237391,34.48275862068966
qqq_multiply_dollar_yen_since199907,DCA_7y,195.71270032984657,223.99267339054373,-16.818348031077512,392.95946660367446,10.325453986268178,31.749036051039223,58.84863783237396,29.064039408866993
qqq_multiply_dollar_yen_since199907,Hybrid25pct_10y,194.4846883925305,196.07555689027137,-25.516215773141827,450.56567589635046,10.122707136882571,30.01132671015549,55.60971286742421,17.24137931034483
qqq_multiply_dollar_yen_since199907,Hybrid25pct_3y,287.8146478626658,318.4975374053088,-38.87401292269842,668.8403990568014,12.520880657822746,38.453716564467065,68.04092584348366,32.51231527093596
qqq_multiply_dollar_yen_since199907,Hybrid25pct_5y,258.13063791036285,287.53650468406096,-24.65690318606113,576.6019919356596,11.902102285158355,36.023034807028985,58.84863783237391,34.48275862068966
qqq_multiply_dollar_yen_since199907,Hybrid25pct_7y,230.36802578359413,245.7091447839231,-26.892417425191983,516.554703602755,11.181744344535826,33.77867819511241,58.84863783237393,29.064039408866993
qqq_multiply_dollar_yen_since199907,LumpSum,334.33400214483686,249.89382178848714,-66.25441115506123,955.8340562472526,12.880641041846022,43.31557636172435,78.58993274714258,0.0
spy_multiply_dollar_yen_since199907,DCA_10y,79.39344518683993,95.69381082604855,-28.47321653947622,182.33550198549042,5.398652990516015,25.031354423357133,57.21291216022263,38.42364532019704
spy_multiply_dollar_yen_since199907,DCA_3y,132.88013848345966,167.2954673506273,-36.18847409988789,324.40039699482577,7.454656270577465,37.66074012594363,61.31753820035778,36.45320197044335
spy_multiply_dollar_yen_since199907,DCA_5y,118.30776288193586,149.4138490071096,-30.854387293060313,290.0855899304682,6.986400510808179,34.16191396894256,61.31753820035776,37.93103448275862
spy_multiply_dollar_yen_since199907,DCA_7y,102.87220959721031,124.96085083375657,-34.990157843058924,242.25936288958505,6.39640021107303,30.580143349472063,61.317538200357816,43.34975369458128
spy_multiply_dollar_yen_since199907,Hybrid25pct_10y,98.59146741081601,102.53197158030729,-32.65987849612186,242.9054879258975,6.208021153570234,28.972280885341668,58.19393905159198,38.42364532019704
spy_multiply_dollar_yen_since199907,Hybrid25pct_3y,138.70648738328097,162.31964459001372,-36.75798601275356,349.4541591828991,7.616151454277151,38.465558927846914,61.31753820035774,36.45320197044335
spy_multiply_dollar_yen_since199907,Hybrid25pct_5y,127.77720568213805,150.33758535820968,-33.47628823802843,323.71805388463093,7.298818795341708,35.778184230398416,61.31753820035776,37.93103448275862
spy_multiply_dollar_yen_since199907,Hybrid25pct_7y,116.20054071859393,128.31119038796933,-36.36645914354335,287.8483836039685,6.886692545943504,33.06067344471487,61.31753820035778,43.34975369458128
spy_multiply_dollar_yen_since199907,LumpSum,156.18553408274454,101.8537461276174,-45.219864366058815,460.73445376147,7.899723070966436,42.444357363087136,61.31753820035776,0.0
sox_multiply_dollar_yen_since199907,DCA_10y,187.48144317545703,199.55646905107932,-42.363704965292555,665.3199428503252,9.085418582031357,30.831642108557016,63.62515420132887,47.29064039408867
sox_multiply_dollar_yen_since199907,DCA_3y,354.93302617291846,372.03948574115736,-60.241437516245966,1356.6217068782466,11.78493132471017,45.19794474948239,78.47601612115494,42.857142857142854
sox_multiply_dollar_yen_since199907,DCA_5y,299.56461245690133,333.3558024299933,-52.164004422784394,1108.0521761693594,11.183921703387627,41.032325419476955,70.76413133399062,45.812807881773395
sox_multiply_dollar_yen_since199907,DCA_7y,249.255281510898,267.00982107082297,-50.582169181616464,892.1885338244077,10.396919916183354,36.985173290628744,70.18957037345601,48.275862068965516
sox_multiply_dollar_yen_since199907,Hybrid25pct_10y,252.07249361701966,231.22334509578045,-49.22511813009909,1084.6869134665512,10.289196833131262,34.83186421701718,71.81863393906053,47.29064039408867
sox_multiply_dollar_yen_since199907,Hybrid25pct_3y,377.66118086511597,343.7430761649049,-58.86180862342189,1604.1225941532068,11.95777632048322,46.117727379133875,81.17679001360958,42.857142857142854
sox_multiply_dollar_yen_since199907,Hybrid25pct_5y,336.134870578103,331.63764132879976,-56.23012781535033,1416.7064835465335,11.57896310220252,42.64957844523657,76.69279892041794,45.812807881773395
sox_multiply_dollar_yen_since199907,Hybrid25pct_7y,298.40287236860047,288.47887606718297,-57.1962451378631,1253.3465758046104,11.081805895164917,39.534844178458776,75.41201671484843,48.275862068965516
sox_multiply_dollar_yen_since199907,LumpSum,445.84564494170786,210.07292781627896,-78.86569063291822,2351.5196366701425,12.050592598186173,52.11910392465512,85.48010849595364,0.0
orucan_multiply_dollar_yen_since199907,DCA_10y,54.34108205506493,62.047169426407024,-27.757813519740658,151.26338982973473,3.9961350710684442,26.73868757180669,59.12463729517251,35.467980295566505
orucan_multiply_dollar_yen_since199907,DCA_3y,87.0027221722211,108.48084123493113,-25.963233136899746,252.83553887767164,5.580667858471889,39.71440667668808,62.83769341189851,40.88669950738916
orucan_multiply_dollar_yen_since199907,DCA_5y,78.83732715575748,93.03768847514019,-27.59920788010487,233.3777057767787,5.2264928635830215,36.498419795014556,62.837693411898485,35.960591133004925
orucan_multiply_dollar_yen_since199907,DCA_7y,69.47676664173444,80.31319665678718,-34.00103121555409,198.5069538861904,4.765371886438522,32.86511844439839,62.837693411898535,35.960591133004925
orucan_multiply_dollar_yen_since199907,Hybrid25pct_10y,65.6150993816405,67.84223097149777,-27.76816105610682,193.48600549940153,4.574820061501098,30.671306678174243,60.031075594359486,35.467980295566505
orucan_multiply_dollar_yen_since199907,Hybrid25pct_3y,90.11132946950775,96.21249556004778,-26.95253544592463,269.6651172853545,5.694648537657511,40.45521125035877,62.837693411898464,40.88669950738916
orucan_multiply_dollar_yen_since199907,Hybrid25pct_5y,83.98728320715993,94.25866295087881,-26.539978663213425,255.07174245968454,5.451519837116272,37.92953608711264,62.837693411898485,35.960591133004925
orucan_multiply_dollar_yen_since199907,Hybrid25pct_7y,76.9668628216427,81.16953114245065,-31.34134616480033,228.91867854174342,5.117790310792809,35.09501945105651,62.8376934118985,35.960591133004925
orucan_multiply_dollar_yen_since199907,LumpSum,99.43715136136736,65.59174982443862,-37.70625542801614,320.15385250840245,5.842453718567922,44.47714954024158,62.837693411898485,0.0
topix_since199907,DCA_10y,28.974054138020357,35.71960606449067,-31.85626905924409,111.01843785624581,2.237360469802208,26.562517770012004,53.360176879844424,41.87192118226601
topix_since199907,DCA_3y,43.45239240130254,54.98987311589729,-31.390492164005714,152.86283756026648,3.0186125771479455,39.07793386425871,59.46261155683767,48.76847290640394
topix_since199907,DCA_5y,40.246004814121115,52.888817051646456,-38.88305827967764,150.30091866221179,2.8444110461995984,36.092282605186426,59.46261155683765,36.94581280788177
topix_since199907,DCA_7y,36.1601383060835,46.96904407514262,-38.97780596805222,137.11388831752953,2.614649324182969,32.641793592763506,57.36556837645368,38.42364532019704
topix_since199907,Hybrid25pct_10y,33.59590548615781,43.27646153026987,-33.83057726432257,134.13315073297872,2.5109449063931337,30.25658175926214,54.27012680451002,41.87192118226601
topix_since199907,Hybrid25pct_3y,44.45465918361953,62.16876905921844,-35.75083973578621,165.51645051099433,3.056824780903271,39.883342889930006,59.46261155683764,48.76847290640394
topix_since199907,Hybrid25pct_5y,42.04986849323339,56.48637776996151,-37.631364095286756,163.59501133745334,2.950970893260564,37.486599177673526,59.46261155683765,36.94581280788177
topix_since199907,Hybrid25pct_7y,38.98546861220523,51.66946946520361,-37.694176352009634,153.7047385789415,2.7848827502550098,34.756529513929955,57.68262027809284,38.42364532019704
topix_since199907,LumpSum,47.461459530570174,35.58314432374359,-48.8318824511279,203.47728936317756,2.9683241446965276,43.08950688294389,59.46261155683765,0.0
