holding_years,rule_id,buy_cell_count,rule_description,signal_count,total_return_avg_pct,total_return_median_pct,total_return_min_pct,total_return_max_pct
3,R008_3100,12,drawdown 10%-15%: VIX >= 35 / drawdown 15%-20%: VIX >= 25 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,948,37.43663699237808,41.444954370131114,-18.63628331101492,103.7850258346066
10,R008_3100,12,drawdown 10%-15%: VIX >= 35 / drawdown 15%-20%: VIX >= 25 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,763,117.1924618848801,82.16686355087515,-10.22091390048524,311.40820485394255
1,R009_4100,11,drawdown 15%-20%: VIX >= 25 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,903,11.768424708177772,15.406304185071873,-48.822822765102735,74.77966345823344
3,R009_4100,11,drawdown 15%-20%: VIX >= 25 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,899,36.57282148391784,41.01658381420836,-18.63628331101492,103.7850258346066
10,R009_4100,11,drawdown 15%-20%: VIX >= 25 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,732,111.73947591505416,79.6499800268455,-10.22091390048524,311.40820485394255
1,R010_2200,12,drawdown 10%-15%: VIX >= 30 / drawdown 15%-20%: VIX >= 30 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,901,15.45110544632275,18.45719704617046,-41.474528694445446,74.77966345823344
3,R010_2200,12,drawdown 10%-15%: VIX >= 30 / drawdown 15%-20%: VIX >= 30 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,887,40.1055197793143,42.86287119661232,-34.744505054468036,103.7850258346066
10,R010_2200,12,drawdown 10%-15%: VIX >= 30 / drawdown 15%-20%: VIX >= 30 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,716,131.1876945144114,122.5494599239848,-16.14692603124499,311.40820485394255
1,R011_3200,11,drawdown 10%-15%: VIX >= 35 / drawdown 15%-20%: VIX >= 30 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,829,15.604123104240461,18.608254902633693,-41.474528694445446,74.77966345823344
3,R011_3200,11,drawdown 10%-15%: VIX >= 35 / drawdown 15%-20%: VIX >= 30 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,821,39.94348760561402,42.86287119661232,-18.61895624517851,103.7850258346066
10,R011_3200,11,drawdown 10%-15%: VIX >= 35 / drawdown 15%-20%: VIX >= 30 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,675,126.13001713610788,86.00266282550726,-10.22091390048524,311.40820485394255
1,R012_4200,10,drawdown 15%-20%: VIX >= 30 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,776,15.233746905818712,17.57703145872781,-41.474528694445446,74.77966345823344
3,R012_4200,10,drawdown 15%-20%: VIX >= 30 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,772,39.09668130761248,42.20634786725191,-18.61895624517851,103.7850258346066
10,R012_4200,10,drawdown 15%-20%: VIX >= 30 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,644,120.36212658156668,81.8232678387974,-10.22091390048524,311.40820485394255
1,R013_3300,10,drawdown 10%-15%: VIX >= 35 / drawdown 15%-20%: VIX >= 35 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,795,15.976246612181091,18.854266111091643,-39.04746905857931,74.77966345823344
3,R013_3300,10,drawdown 10%-15%: VIX >= 35 / drawdown 15%-20%: VIX >= 35 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,787,39.90411491009089,42.38299646710948,-11.55596569990508,103.7850258346066
10,R013_3300,10,drawdown 10%-15%: VIX >= 35 / drawdown 15%-20%: VIX >= 35 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,660,126.65322095459229,85.79888768042412,-7.052479388472744,311.40820485394255
1,R014_4300,9,drawdown 15%-20%: VIX >= 35 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,742,15.615479248226341,18.10930133784988,-39.04746905857931,74.77966345823344
3,R014_4300,9,drawdown 15%-20%: VIX >= 35 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,738,39.01568167955183,41.56899305781043,-11.55596569990508,103.7850258346066
10,R014_4300,9,drawdown 15%-20%: VIX >= 35 / drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,629,120.77356722048813,81.72437074768384,-7.052479388472744,311.40820485394255
1,R015_4400,8,drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,689,14.270130632293712,16.921558710267636,-33.02435769163991,74.77966345823344
3,R015_4400,8,drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,689,37.80590190159875,40.79353707246256,-11.55596569990508,103.7850258346066
10,R015_4400,8,drawdown 20%-25%: VIX >= 20 / drawdown 25%+: VIX >= 20,606,115.20297445596812,79.8085086952666,-7.052479388472744,311.40820485394255
1,R016_1110,13,drawdown 10%-15%: VIX >= 25 / drawdown 15%-20%: VIX >= 25 / drawdown 20%-25%: VIX >= 25 / drawdown 25%+: VIX >= 20,1100,12.273106480008074,16.156675262825836,-48.822822765102735,74.77966345823344
3,R016_1110,13,drawdown 10%-15%: VIX >= 25 / drawdown 15%-20%: VIX >= 25 / drawdown 20%-25%: VIX >= 25 / drawdown 25%+: VIX >= 20,1082,37.370921559815244,42.280986759098695,-35.860682390026966,103.7850258346066
10,R016_1110,13,drawdown 10%-15%: VIX >= 25 / drawdown 15%-20%: VIX >= 25 / drawdown 20%-25%: VIX >= 25 / drawdown 25%+: VIX >= 20,861,128.81283988972618,109.15713607470106,-22.257367673810936,311.40820485394255
1,R017_2110,12,drawdown 10%-15%: VIX >= 30 / drawdown 15%-20%: VIX >= 25 / drawdown 20%-25%: VIX >= 25 / drawdown 25%+: VIX >= 20,950,14.216168032014897,16.90306977575239,-48.822822765102735,74.77966345823344
