Date,Close,USDJPY_Close,Close_Yen
1999-01-04,1150.0,111.91000366210938,128696.50421142578
1999-01-05,1161.5,111.9000015258789,129971.85177230835
1999-01-06,1173.300048828125,112.75,132289.5805053711
1999-01-07,1195.5,111.30999755859376,133071.10208129886
1999-01-08,1191.5999755859375,110.8000030517578,132029.28093139638
1999-01-11,1190.800048828125,109.0,129797.20532226562
1999-01-12,1180.4000244140625,112.5999984741211,132913.04094787594
1999-01-13,1160.4000244140625,113.5,131705.4027709961
1999-01-14,1144.800048828125,113.5,129934.80554199219
1999-01-15,1136.9000244140625,114.0999984741211,129720.29105087277
1999-01-18,1154.0999755859375,114.2300033569336,131832.84408541862
1999-01-19,1164.0,113.5999984741211,132230.39822387695
1999-01-20,1166.9000244140625,112.9000015258789,131743.0145368958
1999-01-21,1173.5999755859375,113.9000015258789,133673.03901000973
1999-01-22,1160.0,114.41999816894533,132727.1978759766
1999-01-25,1142.199951171875,113.6999969482422,129868.13096252458
1999-01-26,1147.800048828125,113.77999877929688,130596.68815454096
1999-01-27,1159.5999755859375,115.5999984741211,134049.75540832523
1999-01-28,1154.4000244140625,116.2699966430664,134222.08696337882
1999-01-29,1164.800048828125,116.27999877929688,135442.94825585932
1999-02-01,1173.800048828125,115.0500030517578,135045.69919982922
1999-02-02,1175.199951171875,111.91000366210938,131516.6308393553
1999-02-03,1170.300048828125,112.88999938964844,132115.17179791257
1999-02-04,1168.9000244140625,112.0199966430664,130940.17681094352
1999-02-05,1155.4000244140625,113.08000183105467,130652.6368763428
1999-02-08,1147.0999755859375,114.5199966430664,131365.88535336312
1999-02-09,1145.0,113.9499969482422,130472.74650573732
1999-02-10,1123.699951171875,114.3000030517578,128438.9078482054
1999-02-11,1124.5,114.63999938964844,128912.67931365967
1999-02-12,1144.0,113.9499969482422,130358.79650878908
1999-02-15,1137.699951171875,115.9000015258789,131859.42607681267
1999-02-16,1137.699951171875,118.6500015258789,134988.10094253533
1999-02-17,1141.0999755859375,118.6999969482422,135448.56361969005
1999-02-18,1130.5999755859375,119.6500015258789,135276.28880401608
1999-02-19,1136.0,121.3000030517578,137796.80346679685
1999-02-22,1134.800048828125,121.12000274658205,137446.98503088395
1999-02-23,1154.0999755859375,120.77999877929688,139392.19364245608
1999-02-24,1157.9000244140625,121.3499984741211,140511.16619583126
1999-02-25,1151.800048828125,119.5999984741211,137755.28408233635
1999-02-26,1146.9000244140625,119.1500015258789,136653.1396589661
1999-03-01,1141.300048828125,119.72000122070312,136636.44323889166
1999-03-02,1132.4000244140625,119.9000015258789,135774.7646551514
