vix_threshold,condition_market,condition_drop,initial_ratio,amounts,ratios,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_trigger_count
35.0,SOX,-0.2,0.0,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.3, 0.3)",351.33675412030954,220.06891621792585,0.0,836.6351743560987,9.892974907254985,36.625430272189256,56.77538774277282,120.48780487804878,12.097560975609756
35.0,SOX,-0.2,0.0,"(100, 100, 200, 200, 300)","(0.7, 0.5, 0.5, 0.3, 0.3)",348.3988257645555,206.44698686771198,0.0,833.4316848302014,9.670086253589705,36.46465390234664,56.77538774277283,127.98780487804878,10.542682926829269
35.0,SOX,-0.2,0.0,"(100, 100, 200, 200, 300)","(0.3, 0.3, 0.3, 0.3, 0.3)",348.2715932947104,201.11868537730166,0.0,836.0415613479139,9.37650719820847,35.83772258326443,56.46499544215373,154.0548780487805,11.320121951219512
35.0,NQ100,-0.2,0.0,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.3, 0.3)",347.721163503404,202.84913520523244,0.0,836.6351743560987,9.36780843391396,35.71753364752399,56.77538774277282,160.3658536585366,11.432926829268293
35.0,SOX,-0.2,0.2,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.3, 0.3, 0.3)",347.3551231419033,259.8968314920053,0.6434921053388942,843.0016764818822,10.588056792192829,37.185383956833356,56.77538774277283,90.60975609756098,10.542682926829269
35.0,NQ100,-0.2,0.0,"(100, 100, 200, 200, 300)","(0.7, 0.5, 0.5, 0.3, 0.3)",346.5355279186025,204.26233689117294,0.0,833.4316848302014,9.085174772881269,35.238113443370004,56.77538774277283,182.3170731707317,9.878048780487806
35.0,NQ100,-0.2,0.0,"(100, 100, 200, 200, 300)","(0.3, 0.3, 0.3, 0.3, 0.3)",346.3804614003102,200.69679835793326,0.0,836.0415613479139,8.777725864003365,34.60740273030852,56.46499544215373,208.3841463414634,10.65548780487805
35.0,SOX,-0.2,0.0,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.5)",345.63743375235316,209.72194224972088,0.0,838.0710028506396,9.990257876840468,37.047259257438604,56.77538774277282,101.21951219512195,8.987804878048781
35.0,SOX,-0.2,0.0,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.3, 0.3, 0.3)",345.2299359142172,211.86702464772682,0.0,828.0790497994556,9.587655369908461,35.86831048294482,56.14503857194877,150.67073170731706,12.875
35.0,SOX,-0.3,0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.3)",344.9595613364658,318.9256948121856,1.2869842106777885,866.7091750996387,11.654953152140049,38.14799695713416,56.77538774277283,34.75609756097561,5.579268292682927
35.0,NQ100,-0.2,0.2,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.3, 0.3, 0.3)",344.6996904996549,248.43226323115618,0.6434921053388942,843.0016764818822,10.130294832833481,36.33400274498722,56.77538774277283,130.4878048780488,9.878048780487806
35.0,SOX,-0.2,0.4,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.3, 0.3, 0.3)",344.3968321186829,307.74148002538857,1.2869842106777885,862.0468293508676,11.535462547527835,38.11535059012515,56.77538774277283,38.78048780487805,7.432926829268292
35.0,SOX,-0.2,0.4,"(200, 200, 200, 200, 200)","(0.3, 0.3, 0.3, 0.3, 0.3)",344.1739202569251,296.7862904516019,1.2869842106777885,853.7694183831263,11.239297177216988,37.69953973842402,56.77538774277283,60.73170731707317,8.987804878048781
35.0,SOX,-0.2,0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.3)",344.14160921015764,311.93648790803536,1.2869842106777885,866.7091750996387,11.757078024398023,38.32974479568325,56.77538774277283,25.24390243902439,5.737804878048781
35.0,SP500,-0.2,0.0,"(100, 100, 200, 200, 300)","(0.3, 0.3, 0.3, 0.3, 0.3)",344.01497712663144,195.86632636414842,0.0,836.0415613479139,8.385471018990298,34.10035159589497,56.46499544215373,230.33536585365854,10.106707317073171
35.0,SP500,-0.2,0.0,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.3, 0.3)",343.9795650853152,198.01400201763198,0.0,836.6351743560987,8.408919263767343,34.321948390858374,56.77538774277282,222.5609756097561,10.884146341463415
35.0,SOX,-0.2,0.2,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.5)",343.88255209467513,255.59327089026542,0.6434921053388942,852.3670477394006,10.86245731937573,37.8799406568808,56.77538774277283,56.707317073170735,7.432926829268292
35.0,NQ100,-0.2,0.0,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.5)",343.7767987237776,205.83464715094837,0.0,838.0710028506396,9.287748304191446,35.55890695846061,56.77538774277282,167.6829268292683,8.323170731707316
35.0,SOX,-0.2,0.0,"(200, 200, 200, 200, 200)","(0.3, 0.5, 0.7, 0.7, 0.7)",343.36827207066733,203.44506175514243,0.0,842.6872661279336,10.17499193652595,37.630874687316464,56.77538774277282,74.63414634146342,7.432926829268292
35.0,SOX,-0.2,0.4,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.5)",343.33149343637353,303.25681778402,1.2869842106777885,863.2028379577125,11.672381807618748,38.31350761359529,56.77538774277283,26.21951219512195,5.737804878048781
35.0,SOX,-0.2,0.4,"(100, 100, 200, 200, 300)","(0.7, 0.5, 0.3, 0.3, 0.3)",343.31664245765296,295.21646716952057,1.2869842106777885,856.316447411687,11.332621655298071,37.992022416299115,56.77538774277283,46.28048780487805,7.432926829268292
35.0,SOX,-0.3,0.4,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.5)",343.2857555920227,312.6231247740575,1.2869842106777885,863.2028379577125,11.482826755094875,38.00956053439423,56.77538774277283,42.073170731707314,5.579268292682927
35.0,SP500,-0.2,0.0,"(100, 100, 200, 200, 300)","(0.7, 0.5, 0.5, 0.3, 0.3)",343.208925589924,198.9018953997188,0.0,833.4316848302014,8.411979655099287,34.321948390858374,56.77538774277283,222.5609756097561,9.329268292682928
35.0,NQ100,-0.2,0.4,"(200, 200, 200, 200, 200)","(0.3, 0.3, 0.3, 0.3, 0.3)",343.05753923977977,294.4539133923382,1.2869842106777885,853.7694183831263,10.861308498924343,36.8970911263065,56.77538774277283,100.60975609756098,8.323170731707316
,SOX,-0.3,0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.3)",342.9106676712761,393.33427980035583,1.2869842106777885,866.7091750996387,12.290942174116104,38.360967082129456,56.77538774277283,22.926829268292682,5.7682926829268295
