initial_ratio,amounts,ratios,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_trigger_count
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.3, 0.3, 0.3)",309.3133797143312,222.19792007545797,-56.1756797567802,1267.667558452393,11.553027803227438,51.17658086850221,77.87827346628788,384615.3846153846,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.3)",308.47930017341054,189.10587267868124,-56.70476309911193,1117.9802063372244,11.600107538055974,50.35710729077356,78.82501873707307,0.0,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.5)",308.47930017341054,189.10587267868124,-56.70476309911193,1117.9802063372244,11.600107538055974,50.35710729077356,78.82501873707307,0.0,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.3, 0.3)",307.8016755184041,222.7322262372806,-55.98512248706843,1245.5602189101264,11.616619653183013,50.735913149645924,77.3656948293953,384615.3846153846,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.3, 0.3, 0.3)",307.35710008131394,189.4316372540437,-57.92335100955489,1140.087545879491,11.460869136993137,50.772417792870215,79.59465710418581,0.0,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.5, 0.3)",306.4202793983049,223.61696794652823,-54.703002528835775,1223.4528793678599,11.690555012770696,50.26535210977791,76.59497891973874,384615.3846153846,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.5, 0.5)",305.9730992370164,224.06383075191735,-53.02617928793637,1201.3455398255933,11.787878552951602,49.85969700540631,75.61765556739607,384615.3846153846,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.3, 0.3)",305.84539588538695,189.96594341586626,-57.732793739843125,1117.9802063372244,11.527882779916306,50.325324859019105,79.1235846206768,0.0,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.3, 0.3, 0.3)",305.22547686394165,222.7322262372806,-55.92264004317492,1245.5602189101264,11.548063389097024,50.67554895286849,77.3656948293953,384615.3846153846,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.3, 0.3, 0.3, 0.3, 0.3)",304.9947935730485,156.19503784265677,-60.1505852214214,1078.829551933389,11.04930563705362,52.119355094434255,82.31465611070487,0.0,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.5, 0.3)",304.46399976528767,190.93357248595066,-56.45067378161046,1095.8728667949579,11.60556080481259,49.86256474853501,78.37730423779078,0.0,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.5, 0.5)",304.46399976528767,190.93357248595066,-56.45067378161046,1095.8728667949579,11.60556080481259,49.86256474853501,78.37730423779078,0.0,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.3, 0.3)",303.71377266801466,223.2665323991032,-55.732082773463155,1223.4528793678599,11.608461868183586,50.231483164410925,76.83729775715638,384615.3846153846,4.8076923076923075
