strategy,vix_threshold,buy_ratios,buy_target_ratio,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_buy_count,window_count,initial_ratio
VIX,35.0,"(0.7, 0.7, 0.7, 0.7, 0.7)","(0.7, 0.3)",310.69245999511924,233.28242010747488,-44.41116636261487,1042.4204162064204,12.388446089516686,12.792764362761933,-5.702808922003467,27.579999343084328,46.455053851015926,68.89133509557087,0.0,5.0,209,0.4
VIX,35.0,"(0.7, 0.7, 0.5, 0.5, 0.3)","(0.7, 0.3)",308.9172298486795,233.06892702545235,-44.359262892839325,1046.2447869568543,12.356947625841391,12.785537033119553,-5.6940080606433074,27.622643868902543,46.39862726374606,68.86412227827974,0.0,6.0,209,0.4
VIX,35.0,"(0.7, 0.5, 0.3, 0.3, 0.3)","(0.7, 0.3)",305.23787897469145,236.6037202927873,-44.111323425331896,1046.591439771402,12.312093885812487,12.90466621498938,-5.652068604462446,27.62650296859741,46.129609741093375,68.73457213342138,0.0,8.0,209,0.4
VIX,35.0,"(0.7, 0.7, 0.7, 0.7, 0.7)","(0.5, 0.5)",326.1008037501559,226.00833231640954,-48.823722268750124,1118.2026429541354,12.30645269295716,12.544135629894448,-6.479489366592062,28.402048886044383,48.77663932662526,73.14767985368809,0.0,5.0,209,0.4
VIX,35.0,"(0.7, 0.5, 0.5, 0.3, 0.3)","(0.7, 0.3)",305.3859801609273,234.6873491834808,-44.28161614654781,1045.5283985879373,12.300435744032221,12.840221421386433,-5.680855900042802,27.614665372308565,46.25179750381397,68.82402098999623,0.0,8.0,209,0.4
BuyHold,,,"(0.7, 0.3)",356.11314592579265,191.84498926637926,-69.61521798280901,1321.4583238382836,12.283511542584023,11.305140995765317,-11.23012414808553,30.398745443140584,51.890413319338776,83.66817428576137,0.0,1.0,209,
VIX,35.0,"(0.5, 0.5, 0.3, 0.3, 0.3)","(0.7, 0.3)",302.8056388722494,239.29174024712054,-44.15326043773895,1046.2670446931556,12.279414503238124,12.99450624026466,-5.659150552500702,27.62289168388625,45.964224331587914,68.75905276608609,0.0,9.0,209,0.4
VIX,35.0,"(0.7, 0.7, 0.5, 0.5, 0.3)","(0.5, 0.5)",324.17082233163467,225.82590751071393,-48.76846000148996,1122.405615314995,12.275182056521869,12.53783640018764,-6.469395537882294,28.44628078943938,48.7221801284858,73.12071690339538,0.0,6.0,209,0.4
VIX,35.0,"(0.5, 0.5, 0.5, 0.5, 0.5)","(0.7, 0.3)",302.7961319465533,233.80873086027503,-43.92413313642229,1050.73237139208,12.2565578548636,12.81056365175257,-5.620515783403834,27.672520727534746,46.27435798836778,68.63462224112334,0.0,6.0,209,0.4
VIX,35.0,"(0.3, 0.5, 0.7, 0.7, 0.7)","(0.7, 0.3)",301.3166162660888,233.95322769589367,-43.54531187780879,1048.5138133892406,12.238033537000426,12.81544596715094,-5.556950596726262,27.64788468349131,46.286127119026006,68.43360998505987,0.0,6.0,209,0.4
