dca_years,weights,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct
1,"(0.0, 0.3, 0.7)",195.30090457484982,87.16786915643232,-51.60032004329186,798.7809848461499,8.616200017452016,47.037260143178955,69.451923032614
1,"(0.0, 0.5, 0.5)",187.8032254648586,94.3127580278822,-51.3033886147088,702.9248788218449,8.626712754420737,46.05715890283612,68.0082352174778
1,"(0.0, 0.7, 0.3)",180.3055463548673,102.90457428202555,-51.00645718612575,607.0687727975403,8.612487445562376,45.24979041597517,66.45542812324446
3,"(0.0, 0.3, 0.7)",172.91912513681143,129.6719207678354,-52.86314176376167,637.7575883221197,8.299537536071671,45.623656816355926,63.13263878932972
3,"(0.0, 0.5, 0.5)",166.9922167073386,130.06964053641758,-51.86676128455815,568.9904484695634,8.303917456067712,44.81979414600766,62.338769028668054
1,"(0.2, 0.4, 0.4)",166.9730218333834,86.40957456479487,-50.21006174744444,617.8173948181483,8.048395985028536,45.924468287282636,65.04943715876455
1,"(0.2, 0.5, 0.3)",163.22418227838773,90.31200431892806,-50.061596033152924,569.8893418059959,8.03556794495779,45.53479116921962,64.1842948939014
3,"(0.0, 0.7, 0.3)",161.0653082778657,130.4673603049996,-50.87038080535462,500.2233086170075,8.288583295427578,44.11484492300438,61.574453201145865
1,"(0.3, 0.4, 0.3)",154.68350024014794,84.54271745409523,-49.589165456666485,551.2996263102234,7.732739697804758,45.69746066371354,63.13360810414298
5,"(0.0, 0.3, 0.7)",153.62964121070306,125.67984147857825,-49.4032564933227,549.7861749521924,7.858452003160953,45.39708419661191,62.99367895414842
1,"(0.3, 0.5, 0.2)",150.9346606851523,89.65175263189631,-49.440699742374946,503.3715732980707,7.711001595473633,45.30973074267217,62.31502004347767
3,"(0.2, 0.4, 0.4)",149.62307052958553,113.66150999826866,-50.53448194805898,506.90992112489175,7.754875421251429,44.80716416911348,62.472422806154384
5,"(0.0, 0.5, 0.5)",148.86746916172035,124.73260057038061,-47.74899901246117,494.42393078056756,7.851797259912315,44.65754726630787,62.18465193515893
3,"(0.2, 0.5, 0.3)",146.6596163148491,113.9069284753277,-50.03629170845723,472.5263511986133,7.742364250871287,44.45499747572833,62.09226343592189
